age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,workout_template_id,nutrition_template_id,tdee_bmr_ratio,height_bin,weight_bin
45,Female,165.1,65.8,High Activity,5.0,0.0,24.139693249800697,Normal,Fat Loss,1372.6754,1.81,2484.5424740000003,3,1,1.81,166-180,40-70
30,Female,167.6,59.9,High Activity,10.0,6.0,21.324496898513907,Normal,Fat Loss,1390.8130999999998,1.81,2517.371711,3,1,1.81,166-180,40-70
60,Male,182.9,73.5,High Activity,14.0,14.0,21.97151117064511,Normal,Fat Loss,1610.1586000000002,1.81,2914.3870660000002,3,1,1.8099999999999998,181-200,71-100
45,Female,170.2,70.3,Moderate Activity,3.0,0.0,24.26812445716037,Normal,Fat Loss,1430.0866999999998,1.55,2216.634385,2,1,1.55,166-180,71-100
61,Female,165.1,63.5,High Activity,15.0,0.0,23.29590457997484,Normal,Fat Loss,1282.1272999999997,1.81,2320.6504129999994,3,1,1.81,166-180,40-70
27,Female,175.3,63.5,High Activity,8.0,0.0,20.663785885430208,Normal,Fat Loss,1460.9468999999997,1.81,2644.3138889999996,3,1,1.81,166-180,40-70
37,Male,188.0,79.4,High Activity,49.0,28.0,22.46491625169761,Normal,Fat Loss,1844.2468000000003,1.81,3338.0867080000007,3,1,1.81,181-200,71-100
58,Male,188.0,90.7,High Activity,10.0,3.0,25.662064282480763,Overweight,Fat Loss,1876.4159,1.81,3396.312779,3,2,1.81,181-200,71-100
36,Female,160.0,61.2,High Activity,15.0,3.0,23.90625,Normal,Fat Loss,1353.3094,1.81,2449.4900140000004,3,1,1.8100000000000003,150-165,40-70
47,Female,165.1,56.7,High Activity,20.0,1.0,20.80122503440273,Normal,Fat Loss,1279.8677,1.81,2316.5605370000003,3,1,1.8100000000000003,166-180,40-70
32,Female,167.6,90.7,High Activity,8.0,0.0,32.289346722791514,Obese,Fat Loss,1666.9607,1.81,3017.198867,3,3,1.81,166-180,71-100
42,Male,188.0,70.3,High Activity,50.0,20.0,19.89022181982798,Normal,Fat Loss,1693.9491,1.81,3066.047871,3,1,1.81,181-200,71-100
50,Female,162.6,61.2,Low Activity,0.0,0.0,23.147832954344302,Normal,Fat Loss,1300.7442,1.29,1677.9600180000002,1,1,1.29,150-165,40-70
62,Male,185.4,113.4,High Activity,10.0,0.0,32.9908568196814,Obese,Fat Loss,2145.3424,1.81,3883.069744,3,3,1.81,181-200,101-150
65,Female,167.6,68.0,High Activity,6.0,3.0,24.20811000165185,Normal,Fat Loss,1314.1638,1.81,2378.6364780000004,3,1,1.8100000000000003,166-180,40-70
53,Male,182.9,99.8,High Activity,5.0,0.0,29.833426052114035,Overweight,Fat Loss,2002.2387000000003,1.81,3624.0520470000006,3,2,1.81,181-200,71-100
60,Male,154.9,117.9,High Activity,9.0,0.0,49.13726384210058,Obese,Fat Loss,2070.6134,1.81,3747.8102540000004,3,3,1.81,150-165,101-150
51,Male,154.9,86.2,High Activity,5.0,1.0,35.92563310592935,Obese,Fat Loss,1697.0215000000003,1.81,3071.6089150000007,3,3,1.81,150-165,71-100
63,Male,193.0,127.0,High Activity,25.0,0.0,34.094875030202154,Obese,Fat Loss,2358.3370000000004,1.81,4268.589970000001,3,3,1.81,181-200,101-150
40,Male,182.9,86.2,High Activity,10.0,0.0,25.767949155232767,Overweight,Fat Loss,1893.8405000000002,1.81,3427.8513050000006,3,2,1.81,181-200,71-100
24,Female,170.2,59.0,High Activity,4.0,4.0,20.36727372649306,Normal,Fat Loss,1416.5256,1.81,2563.911336,3,1,1.81,166-180,40-70
53,Female,160.0,52.2,High Activity,14.0,6.0,20.390625,Normal,Fat Loss,1196.4763999999998,1.81,2165.6222839999996,3,1,1.81,150-165,40-70
48,Female,167.6,59.0,High Activity,28.0,0.0,21.00409544260969,Normal,Fat Loss,1304.5508,1.81,2361.236948,3,1,1.8100000000000003,166-180,40-70
45,Female,165.1,59.0,Low Activity,0.0,0.0,21.645013704228592,Normal,Fat Loss,1309.7957999999999,1.29,1689.6365819999999,1,1,1.29,166-180,40-70
19,Male,188.0,77.1,High Activity,15.0,10.0,21.814169307378904,Normal,Fat Loss,1915.6197,1.81,3467.2716570000002,3,1,1.81,181-200,71-100
37,Male,188.0,131.5,High Activity,6.0,1.0,37.20574920778633,Obese,Fat Loss,2542.2305,1.81,4601.437205,3,3,1.81,181-200,101-150
25,Male,190.5,99.8,Moderate Activity,2.0,2.0,27.50049944544333,Overweight,Fat Loss,2197.6671,1.55,3406.3840050000003,2,2,1.55,181-200,71-100
32,Female,162.6,83.9,High Activity,15.0,10.0,31.733712171070056,Obese,Fat Loss,1588.5911,1.81,2875.3498910000003,3,3,1.81,150-165,71-100
53,Female,165.1,65.8,High Activity,20.0,0.0,24.139693249800697,Normal,Fat Loss,1338.0354,1.81,2421.844074,3,1,1.81,166-180,40-70
46,Female,175.3,67.1,High Activity,23.0,0.0,21.83527610885617,Normal,Fat Loss,1411.9660999999999,1.81,2555.658641,3,1,1.81,166-180,40-70
44,Male,172.7,98.9,High Activity,2.0,4.0,33.1597781614194,Obese,Fat Loss,1992.3246000000004,1.81,3606.1075260000007,3,3,1.81,166-180,71-100
23,Male,170.2,81.6,High Activity,20.0,0.0,28.168975187827687,Overweight,Fat Loss,1867.776,1.81,3380.6745600000004,3,2,1.81,166-180,71-100
54,Male,154.9,95.3,High Activity,16.0,8.0,39.71824634565043,Obese,Fat Loss,1801.9032000000002,1.81,3261.4447920000002,3,3,1.8099999999999998,150-165,71-100
21,Male,182.9,86.2,High Activity,15.0,40.0,25.767949155232767,Overweight,Fat Loss,2001.7035,1.81,3623.0833350000003,3,2,1.81,181-200,71-100
39,Female,172.7,63.5,Moderate Activity,3.0,0.0,21.290656352377464,Normal,Fat Loss,1400.9321,1.55,2171.444755,2,1,1.55,166-180,40-70
48,Female,167.6,61.2,Moderate Activity,3.0,0.0,21.787299001486662,Normal,Fat Loss,1324.8942000000002,1.55,2053.5860100000004,2,1,1.55,166-180,40-70
54,Male,180.3,83.9,High Activity,24.0,0.0,25.80896016960701,Overweight,Fat Loss,1771.0720000000001,1.81,3205.6403200000004,3,2,1.81,181-200,71-100
18,Female,167.6,65.8,High Activity,5.0,10.0,23.42490644277488,Normal,Fat Loss,1497.3303999999998,1.81,2710.1680239999996,3,1,1.81,166-180,40-70
58,Female,167.6,72.6,High Activity,10.0,0.0,25.84571744294006,Overweight,Fat Loss,1387.0099999999998,1.81,2510.4880999999996,3,2,1.81,166-180,71-100
18,Female,167.6,56.7,High Activity,2.0,5.0,20.185291721965587,Normal,Fat Loss,1413.1826999999998,1.81,2557.860687,3,1,1.81,166-180,40-70
45,Female,170.2,68.0,Moderate Activity,4.0,0.0,23.474145989856407,Normal,Fat Loss,1408.8186,1.55,2183.66883,2,1,1.55,166-180,40-70
21,Male,175.3,74.8,High Activity,10.0,6.0,24.340963531183927,Normal,Fat Loss,1812.5053000000003,1.81,3280.6345930000007,3,1,1.81,166-180,71-100
59,Male,182.9,108.9,High Activity,10.0,0.0,32.553708387527244,Obese,Fat Loss,2090.0894,1.81,3783.0618139999997,3,3,1.81,181-200,101-150
65,Female,167.6,59.0,High Activity,20.0,0.0,21.00409544260969,Normal,Fat Loss,1230.9407999999999,1.81,2228.0028479999996,3,1,1.8099999999999998,166-180,40-70
64,Male,193.0,115.7,High Activity,40.0,4.0,31.061236543262908,Obese,Fat Loss,2201.2739000000006,1.81,3984.305759000001,3,3,1.81,181-200,101-150
61,Male,180.3,99.8,Moderate Activity,3.0,0.0,30.70005035669582,Obese,Fat Loss,1944.3453000000004,1.55,3013.7352150000006,2,3,1.55,181-200,71-100
20,Female,160.0,86.2,High Activity,10.0,8.0,33.67187499999999,Obese,Fat Loss,1653.7644,1.81,2993.313564,3,3,1.81,150-165,71-100
34,Female,162.6,63.5,High Activity,40.0,20.0,24.017767852955284,Normal,Fat Loss,1391.2922999999998,1.81,2518.239063,3,1,1.8100000000000003,150-165,40-70
46,Female,157.5,59.0,High Activity,5.0,0.0,23.784328546233308,Normal,Fat Loss,1281.9209999999998,1.81,2320.27701,3,1,1.81,150-165,40-70
61,Male,170.2,81.6,Moderate Activity,4.0,0.0,28.168975187827687,Overweight,Fat Loss,1652.05,1.55,2560.6775,2,2,1.5499999999999998,166-180,71-100
23,Male,182.9,104.3,High Activity,10.0,10.0,31.1786206135821,Obese,Fat Loss,2232.8352000000004,1.81,4041.431712000001,3,3,1.81,181-200,101-150
48,Female,152.4,50.8,High Activity,15.0,3.0,21.872265966754156,Normal,Fat Loss,1181.6358,1.81,2138.7607980000002,3,1,1.8100000000000003,150-165,40-70
50,Male,182.9,79.4,High Activity,20.0,0.0,23.73521070679213,Normal,Fat Loss,1745.9709000000003,1.81,3160.2073290000008,3,1,1.8100000000000003,181-200,71-100
22,Female,162.6,59.0,High Activity,40.0,20.0,22.315721312194675,Normal,Fat Loss,1401.6408,1.81,2536.9698479999997,3,1,1.8099999999999998,150-165,40-70
41,Male,180.3,97.5,High Activity,4.0,3.0,29.992534166110644,Overweight,Fat Loss,2027.0722,1.81,3669.0006820000003,3,2,1.81,181-200,71-100
31,Male,182.9,129.3,High Activity,40.0,0.0,38.65192373284915,Obese,Fat Loss,2522.3442000000005,1.81,4565.443002000001,3,3,1.81,181-200,101-150
57,Female,170.2,81.6,High Activity,6.0,0.0,28.168975187827687,Overweight,Fat Loss,1482.6178,1.81,2683.538218,3,2,1.81,166-180,71-100
46,Male,180.3,97.5,High Activity,4.0,5.0,29.992534166110644,Overweight,Fat Loss,1998.6872,1.81,3617.623832,3,2,1.81,181-200,71-100
53,Male,175.3,70.3,High Activity,5.0,6.0,22.87660075190147,Normal,Fat Loss,1570.5548000000003,1.81,2842.7041880000006,3,1,1.81,166-180,71-100
54,Male,172.7,86.2,High Activity,60.0,0.0,28.901646890943898,Overweight,Fat Loss,1765.4126999999999,1.81,3195.3969869999996,3,2,1.8099999999999998,166-180,71-100
52,Female,170.2,58.1,High Activity,20.0,0.0,20.05658650015673,Normal,Fat Loss,1286.9633000000001,1.81,2329.4035730000005,3,1,1.8100000000000003,166-180,40-70
60,Female,162.6,68.0,High Activity,12.0,2.0,25.719814393715897,Overweight,Fat Loss,1320.3238000000001,1.81,2389.786078,3,2,1.8099999999999998,150-165,40-70
38,Female,157.5,79.4,High Activity,7.0,0.0,32.00806248425297,Obese,Fat Loss,1505.1998,1.81,2724.411638,3,3,1.8099999999999998,150-165,71-100
20,Male,170.2,72.6,Moderate Activity,4.0,0.0,25.06210292446434,Overweight,Fat Loss,1764.234,1.55,2734.5627,2,2,1.55,166-180,71-100
48,Male,182.9,108.9,Low Activity,0.0,0.0,32.553708387527244,Obese,Fat Loss,2152.5364,1.29,2776.771956,1,3,1.29,181-200,101-150
41,Male,165.1,81.6,Low Activity,2.0,1.0,29.936154546865303,Overweight,Fat Loss,1741.1151,1.29,2246.038479,1,2,1.2899999999999998,166-180,71-100
55,Female,152.4,44.5,High Activity,12.0,10.0,19.159760541743303,Normal,Fat Loss,1093.0696999999998,1.81,1978.4561569999996,3,1,1.81,150-165,40-70
63,Male,180.3,86.2,High Activity,10.0,2.0,26.516476360192183,Overweight,Fat Loss,1750.7921000000006,1.81,3168.9337010000013,3,2,1.81,181-200,71-100
39,Female,162.6,63.5,High Activity,20.0,10.0,24.017767852955284,Normal,Fat Loss,1369.6423,1.81,2479.052563,3,1,1.8100000000000003,150-165,40-70
33,Male,154.9,97.5,High Activity,70.0,4.0,40.635141854154426,Obese,Fat Loss,1950.5936000000002,1.81,3530.5744160000004,3,3,1.81,150-165,71-100
19,Female,182.9,86.2,High Activity,20.0,4.0,25.767949155232767,Overweight,Fat Loss,1729.0386,1.81,3129.559866,3,2,1.8099999999999998,181-200,71-100
41,Female,167.6,65.8,High Activity,5.0,5.0,23.42490644277488,Normal,Fat Loss,1397.7404,1.81,2529.910124,3,1,1.81,166-180,40-70
62,Male,172.7,81.6,High Activity,20.0,0.0,27.359331627622065,Overweight,Fat Loss,1658.3705,1.81,3001.6506050000003,3,2,1.8100000000000003,166-180,71-100
55,Female,162.6,59.0,High Activity,15.0,0.0,22.315721312194675,Normal,Fat Loss,1258.7507999999998,1.81,2278.3389479999996,3,1,1.81,150-165,40-70
32,Male,188.0,79.4,Moderate Activity,4.0,1.0,22.46491625169761,Normal,Fat Loss,1872.6318000000003,1.55,2902.5792900000006,2,1,1.55,181-200,71-100
55,Female,172.7,59.0,High Activity,35.0,0.0,19.78186968173654,Normal,Fat Loss,1290.0405999999998,1.81,2334.973486,3,1,1.81,166-180,40-70
51,Male,182.9,86.2,Moderate Activity,3.0,0.0,25.767949155232767,Overweight,Fat Loss,1831.3935000000001,1.55,2838.6599250000004,2,2,1.55,181-200,71-100
59,Female,167.6,72.6,High Activity,5.0,0.0,25.84571744294006,Overweight,Fat Loss,1382.6799999999998,1.81,2502.6508,3,2,1.81,166-180,71-100
29,Male,162.6,72.6,High Activity,3.0,3.0,27.459684190937853,Overweight,Fat Loss,1676.6685999999997,1.81,3034.770166,3,2,1.81,150-165,71-100
32,Male,175.3,74.8,High Activity,2.0,25.0,24.340963531183927,Normal,Fat Loss,1750.0583000000001,1.81,3167.605523,3,1,1.81,166-180,71-100
35,Male,188.0,81.6,High Activity,15.0,4.0,23.087369850611136,Normal,Fat Loss,1885.0742000000002,1.81,3411.9843020000008,3,1,1.81,181-200,71-100
51,Female,160.0,63.5,High Activity,6.0,2.0,24.8046875,Normal,Fat Loss,1309.6275,1.81,2370.425775,3,1,1.81,150-165,40-70
51,Female,160.0,59.0,High Activity,6.0,4.0,23.046875,Normal,Fat Loss,1268.016,1.81,2295.10896,3,1,1.8099999999999998,150-165,40-70
59,Female,165.1,83.9,High Activity,5.0,1.0,30.77994321669117,Obese,Fat Loss,1479.4261,1.81,2677.7612409999997,3,3,1.8099999999999998,166-180,71-100
33,Female,154.9,72.6,High Activity,5.0,1.0,30.257551780631907,Obese,Fat Loss,1455.9153999999999,1.81,2635.206874,3,3,1.81,150-165,71-100
48,Female,162.6,81.6,High Activity,5.0,3.0,30.863777272459075,Obese,Fat Loss,1498.043,1.81,2711.45783,3,3,1.81,150-165,71-100
20,Male,190.5,74.8,High Activity,7.0,3.0,20.611596778749117,Normal,Fat Loss,1891.1271000000002,1.81,3422.9400510000005,3,1,1.81,181-200,71-100
59,Male,180.3,81.6,Moderate Activity,3.0,0.0,25.10144397902183,Overweight,Fat Loss,1711.8739,1.55,2653.4045450000003,2,2,1.55,181-200,71-100
42,Female,162.6,79.4,High Activity,15.0,0.0,30.031665630309444,Obese,Fat Loss,1503.6796,1.81,2721.660076,3,3,1.81,150-165,71-100
31,Male,182.9,93.0,High Activity,40.0,20.0,27.8006876036734,Overweight,Fat Loss,2036.0331,1.81,3685.219911,3,2,1.81,181-200,71-100
45,Female,162.6,72.6,Low Activity,0.0,0.0,27.459684190937853,Overweight,Fat Loss,1427.81,1.29,1841.8749,1,2,1.29,150-165,71-100
38,Female,162.6,51.7,High Activity,14.0,1.0,19.55462359051635,Normal,Fat Loss,1264.8577,1.81,2289.392437,3,1,1.81,150-165,40-70
33,Male,188.0,147.4,High Activity,7.0,0.0,41.70439112720688,Obese,Fat Loss,2777.9508,1.81,5028.090948,3,3,1.81,181-200,101-150
60,Male,188.0,108.9,High Activity,10.0,0.0,30.81145314622001,Obese,Fat Loss,2108.8873000000003,1.81,3817.0860130000005,3,3,1.81,181-200,101-150
49,Female,167.6,68.0,High Activity,10.0,0.0,24.20811000165185,Normal,Fat Loss,1383.4438,1.81,2504.033278,3,1,1.8099999999999998,166-180,40-70
28,Male,175.3,83.9,Moderate Activity,3.0,1.0,27.302230484844006,Overweight,Fat Loss,1894.6790000000003,1.55,2936.7524500000004,2,2,1.55,166-180,71-100
43,Female,170.2,56.7,High Activity,5.0,5.0,19.57329525918909,Normal,Fat Loss,1312.9874999999997,1.81,2376.5073749999997,3,1,1.81,166-180,40-70
30,Male,188.0,102.1,High Activity,5.0,0.0,28.88750565866908,Overweight,Fat Loss,2188.0977000000003,1.81,3960.4568370000006,3,2,1.81,181-200,101-150
44,Male,175.3,102.1,High Activity,8.0,0.0,33.224764392164154,Obese,Fat Loss,2047.6724,1.81,3706.287044,3,3,1.81,166-180,101-150
19,Female,175.3,68.0,High Activity,5.0,2.0,22.12814866471266,Normal,Fat Loss,1537.1984000000002,1.81,2782.3291040000004,3,1,1.81,166-180,40-70
18,Female,180.3,95.3,High Activity,5.0,0.0,29.315779549029173,Overweight,Fat Loss,1809.4615,1.81,3275.125315,3,2,1.81,181-200,71-100
35,Female,162.6,79.4,High Activity,4.0,3.0,30.031665630309444,Obese,Fat Loss,1533.9896,1.81,2776.521176,3,3,1.81,150-165,71-100
61,Male,154.9,117.9,High Activity,40.0,10.0,49.13726384210058,Obese,Fat Loss,2064.9364,1.81,3737.534884,3,3,1.81,150-165,101-150
23,Male,180.3,65.8,High Activity,8.0,0.0,20.24111536543672,Normal,Fat Loss,1704.5733,1.81,3085.277673,3,1,1.81,181-200,40-70
42,Male,175.3,81.6,High Activity,10.0,20.0,26.553778397655197,Overweight,Fat Loss,1784.3879000000002,1.81,3229.7420990000005,3,2,1.81,166-180,71-100
22,Female,172.7,74.8,High Activity,15.0,0.0,25.079387325320223,Overweight,Fat Loss,1579.0331999999999,1.81,2858.050092,3,2,1.81,166-180,71-100
43,Female,172.7,65.8,High Activity,14.0,8.0,22.06181398403838,Normal,Fat Loss,1404.8801999999998,1.81,2542.833162,3,1,1.81,166-180,40-70
40,Male,185.4,93.0,High Activity,5.0,2.0,27.0559936880985,Overweight,Fat Loss,1996.9376000000002,1.81,3614.4570560000006,3,2,1.81,181-200,71-100
51,Female,162.6,68.0,High Activity,18.0,0.0,25.719814393715897,Overweight,Fat Loss,1359.2938000000001,1.81,2460.3217780000004,3,2,1.81,150-165,40-70
61,Male,193.0,80.7,High Activity,40.0,7.0,21.665011141238693,Normal,Fat Loss,1749.4099,1.81,3166.431919,3,1,1.81,181-200,71-100
45,Female,152.4,70.8,High Activity,15.0,5.0,30.48339430012193,Obese,Fat Loss,1379.5658,1.81,2497.014098,3,3,1.81,150-165,71-100
56,Male,162.6,74.8,High Activity,20.0,0.0,28.291795833087484,Overweight,Fat Loss,1552.863,1.81,2810.6820300000004,3,2,1.8100000000000003,150-165,71-100
35,Male,185.4,86.2,Moderate Activity,4.0,0.0,25.07770597757087,Overweight,Fat Loss,1934.2230000000002,1.55,2998.0456500000005,2,2,1.55,181-200,71-100
32,Female,165.1,95.3,High Activity,5.0,2.0,34.962200101914995,Obese,Fat Loss,1701.7519000000002,1.81,3080.1709390000005,3,3,1.81,166-180,71-100
40,Male,175.3,65.3,High Activity,11.0,5.0,21.24953099714319,Normal,Fat Loss,1577.3708000000001,1.81,2855.0411480000002,3,1,1.81,166-180,40-70
48,Male,175.3,78.0,High Activity,5.0,2.0,25.38228817422923,Overweight,Fat Loss,1702.0967000000005,1.81,3080.795027000001,3,2,1.81,166-180,71-100
56,Male,172.7,77.1,High Activity,8.0,3.0,25.850544956981143,Overweight,Fat Loss,1632.146,1.81,2954.18426,3,2,1.81,166-180,71-100
49,Female,157.5,68.0,High Activity,15.0,0.0,27.41244646006551,Overweight,Fat Loss,1352.154,1.81,2447.39874,3,2,1.81,150-165,40-70
22,Male,185.4,73.9,High Activity,40.0,0.0,21.49933261882236,Normal,Fat Loss,1843.2409,1.81,3336.2660290000003,3,1,1.8100000000000003,181-200,71-100
41,Female,167.6,59.0,High Activity,25.0,4.0,21.00409544260969,Normal,Fat Loss,1334.8608,1.81,2416.098048,3,1,1.81,166-180,40-70
50,Female,167.6,65.8,High Activity,25.0,0.0,23.42490644277488,Normal,Fat Loss,1358.7703999999999,1.81,2459.3744239999996,3,1,1.8099999999999998,166-180,40-70
52,Female,157.5,88.5,High Activity,40.0,0.0,35.67649281934997,Obese,Fat Loss,1528.7275,1.81,2766.996775,3,3,1.81,150-165,71-100
53,Female,165.1,56.7,High Activity,5.0,1.0,20.80122503440273,Normal,Fat Loss,1253.8877,1.81,2269.536737,3,1,1.8099999999999998,166-180,40-70
31,Female,165.1,54.4,High Activity,30.0,1.0,19.95743636457687,Normal,Fat Loss,1327.8795999999998,1.81,2403.462076,3,1,1.8100000000000003,166-180,40-70
28,Male,175.3,72.6,High Activity,80.0,10.0,23.62505283909028,Normal,Fat Loss,1743.2929000000001,1.81,3155.3601490000005,3,1,1.81,166-180,71-100
24,Female,175.3,77.1,High Activity,10.0,0.0,25.089415618372737,Overweight,Fat Loss,1599.6960999999997,1.81,2895.4499409999994,3,2,1.81,166-180,71-100
59,Male,154.9,77.1,High Activity,10.0,0.0,32.133019866208265,Obese,Fat Loss,1529.6928,1.81,2768.743968,3,3,1.81,150-165,71-100
49,Male,180.3,108.9,High Activity,10.0,0.0,33.49935354553281,Obese,Fat Loss,2134.3820000000005,1.81,3863.231420000001,3,3,1.81,181-200,101-150
30,Female,160.0,59.0,Moderate Activity,3.0,0.0,23.046875,Normal,Fat Loss,1358.946,1.55,2106.3663,2,1,1.5500000000000003,150-165,40-70
56,Female,162.6,72.6,High Activity,24.0,2.0,27.459684190937853,Overweight,Fat Loss,1380.1799999999998,1.81,2498.1258,3,2,1.81,150-165,71-100
51,Female,162.6,121.1,Low Activity,0.0,0.0,45.8039635746911,Obese,Fat Loss,1850.3095000000003,1.29,2386.8992550000003,1,3,1.29,150-165,101-150
