age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal
32,Female,162.6,97.5,High Activity,7.0,2.0,36.9,Obese,Fat Loss
45,Female,167.6,99.8,High Activity,10.0,0.0,35.51,Obese,Fat Loss
47,Male,172.7,90.7,High Activity,10.0,0.0,30.41,Obese,Fat Loss
56,Male,180.3,104.3,Low Activity,0.0,0.0,32.08,Obese,Fat Loss
20,Male,180.3,74.8,Low Activity,0.0,0.0,23.01,Normal,Fat Loss
54,Female,165.1,59.0,Low Activity,0.0,0.0,21.63,Normal,Fat Loss
24,Female,165.1,59.0,Low Activity,0.0,0.0,21.63,Normal,Fat Loss
54,Male,170.2,79.8,High Activity,8.0,0.0,27.57,Overweight,Fat Loss
50,Female,172.7,53.5,High Activity,10.0,0.0,17.94,Underweight,Fat Loss
24,Female,167.6,59.0,High Activity,12.0,0.0,20.98,Normal,Fat Loss
65,Male,175.3,90.7,High Activity,50.0,0.0,29.53,Overweight,Fat Loss
62,Female,162.6,90.7,High Activity,30.0,0.0,34.33,Obese,Fat Loss
44,Female,167.6,61.2,High Activity,5.0,0.0,21.79,Normal,Fat Loss
49,Male,175.3,74.4,High Activity,7.0,0.0,24.22,Normal,Fat Loss
57,Female,170.2,63.5,Moderate Activity,4.0,2.0,21.93,Normal,Fat Loss
55,Female,152.4,44.5,High Activity,12.0,10.0,19.14,Normal,Fat Loss
49,Male,154.9,90.3,High Activity,8.0,6.0,37.6,Obese,Fat Loss
50,Female,162.6,95.3,High Activity,6.0,8.0,36.05,Obese,Fat Loss
22,Male,180.3,77.1,High Activity,20.0,6.0,23.71,Normal,Fat Loss
45,Female,180.3,95.3,High Activity,60.0,12.0,29.29,Overweight,Fat Loss
56,Male,188.0,90.7,High Activity,7.0,2.0,25.68,Overweight,Fat Loss
56,Female,154.9,61.2,High Activity,6.0,3.0,25.51,Overweight,Fat Loss
32,Male,188.0,79.4,Moderate Activity,4.0,1.0,22.47,Normal,Fat Loss
31,Female,167.6,86.2,Low Activity,2.0,0.0,30.67,Obese,Fat Loss
49,Female,157.5,49.9,High Activity,5.0,5.0,20.12,Normal,Fat Loss
20,Male,167.6,61.2,High Activity,0.0,30.0,21.79,Normal,Fat Loss
53,Male,175.3,86.2,High Activity,10.0,0.0,28.06,Overweight,Fat Loss
50,Female,160.0,49.9,High Activity,10.0,0.0,19.49,Normal,Fat Loss
51,Female,162.6,121.1,Low Activity,0.0,0.0,45.83,Obese,Fat Loss
22,Male,182.9,83.9,Low Activity,0.0,0.0,25.09,Overweight,Fat Loss
23,Male,190.5,86.2,High Activity,7.0,0.0,23.75,Normal,Fat Loss
55,Male,182.9,138.3,Low Activity,2.0,0.0,41.36,Obese,Fat Loss
57,Female,167.6,63.5,Moderate Activity,3.0,1.0,22.6,Normal,Fat Loss
44,Male,175.3,72.6,High Activity,10.0,4.0,23.63,Normal,Fat Loss
45,Female,154.9,55.8,High Activity,10.0,2.0,23.24,Normal,Fat Loss
20,Female,167.6,52.2,High Activity,20.0,0.0,18.56,Normal,Fat Loss
41,Female,167.6,65.8,High Activity,5.0,5.0,23.4,Normal,Fat Loss
21,Female,165.1,56.7,High Activity,1.0,8.0,20.8,Normal,Fat Loss
49,Male,182.9,93.0,High Activity,5.0,0.0,27.8,Overweight,Fat Loss
45,Female,167.6,81.6,High Activity,5.0,0.0,29.05,Overweight,Fat Loss
48,Female,172.7,56.7,High Activity,20.0,5.0,19.01,Normal,Fat Loss
48,Male,172.7,95.3,High Activity,20.0,5.0,31.93,Obese,Fat Loss
57,Female,162.6,74.8,High Activity,8.0,2.0,28.32,Overweight,Fat Loss
62,Male,188.0,106.6,High Activity,12.0,6.0,30.17,Obese,Fat Loss
61,Male,172.7,83.9,High Activity,5.0,7.0,28.13,Overweight,Fat Loss
61,Female,157.5,65.8,High Activity,5.0,7.0,26.52,Overweight,Fat Loss
20,Female,162.6,59.0,High Activity,8.0,4.0,22.31,Normal,Fat Loss
30,Male,170.2,72.6,High Activity,20.0,40.0,25.06,Overweight,Fat Loss
34,Female,167.6,136.1,High Activity,40.0,40.0,48.42,Obese,Fat Loss
50,Female,167.6,90.7,High Activity,6.0,0.0,32.28,Obese,Fat Loss
53,Male,185.4,97.5,High Activity,15.0,5.0,28.37,Overweight,Fat Loss
51,Female,175.3,61.2,High Activity,15.0,2.0,19.94,Normal,Fat Loss
47,Male,165.1,80.7,Moderate Activity,4.0,1.0,29.62,Overweight,Fat Loss
50,Male,182.9,67.1,High Activity,10.0,1.0,20.07,Normal,Fat Loss
49,Female,172.7,56.7,High Activity,10.0,2.0,19.01,Normal,Fat Loss
18,Female,170.2,49.9,Low Activity,2.0,0.0,17.23,Underweight,Fat Loss
52,Female,162.6,59.0,High Activity,20.0,7.0,22.31,Normal,Fat Loss
23,Male,182.9,77.1,High Activity,30.0,40.0,23.06,Normal,Fat Loss
54,Male,185.4,90.7,High Activity,20.0,30.0,26.39,Overweight,Fat Loss
43,Male,172.7,87.1,Moderate Activity,3.0,0.0,29.19,Overweight,Fat Loss
42,Female,154.9,65.8,Moderate Activity,3.0,0.0,27.4,Overweight,Fat Loss
52,Female,167.6,72.6,Moderate Activity,3.0,0.0,25.82,Overweight,Fat Loss
52,Male,154.9,81.6,High Activity,30.0,0.0,34.01,Obese,Fat Loss
25,Female,160.0,60.3,Low Activity,2.0,0.0,23.56,Normal,Fat Loss
46,Female,165.1,65.8,Low Activity,0.0,0.0,24.13,Normal,Fat Loss
50,Male,185.4,93.0,High Activity,5.0,3.0,27.05,Overweight,Fat Loss
46,Male,188.0,106.6,High Activity,10.0,2.0,30.17,Obese,Fat Loss
48,Female,170.2,81.6,High Activity,10.0,0.0,28.19,Overweight,Fat Loss
19,Female,170.2,63.5,High Activity,10.0,0.0,21.93,Normal,Fat Loss
65,Male,175.3,99.8,High Activity,100.0,0.0,32.49,Obese,Fat Loss
62,Female,157.5,81.6,High Activity,100.0,100.0,32.92,Obese,Fat Loss
46,Male,185.4,117.9,High Activity,40.0,10.0,34.3,Obese,Fat Loss
44,Female,154.9,136.1,High Activity,21.0,0.0,56.68,Obese,Fat Loss
24,Male,185.4,99.8,High Activity,0.0,3.0,29.03,Overweight,Fat Loss
22,Female,167.6,86.2,High Activity,4.0,5.0,30.67,Obese,Fat Loss
20,Female,154.9,81.6,High Activity,4.0,5.0,34.01,Obese,Fat Loss
42,Male,182.9,89.8,Moderate Activity,2.0,2.0,26.85,Overweight,Fat Loss
28,Female,160.0,59.0,High Activity,2.0,6.0,23.03,Normal,Fat Loss
47,Male,180.3,85.3,High Activity,5.0,0.0,26.22,Overweight,Fat Loss
47,Female,167.6,72.6,High Activity,50.0,0.0,25.82,Overweight,Fat Loss
53,Female,160.0,63.5,High Activity,10.0,0.0,24.8,Normal,Fat Loss
39,Male,180.3,99.8,High Activity,20.0,10.0,30.68,Obese,Fat Loss
39,Female,162.6,63.5,High Activity,20.0,10.0,24.03,Normal,Fat Loss
44,Female,157.5,53.1,High Activity,50.0,3.0,21.4,Normal,Fat Loss
48,Male,182.9,88.5,High Activity,40.0,15.0,26.45,Overweight,Fat Loss
35,Male,182.9,77.1,High Activity,10.0,0.0,23.06,Normal,Fat Loss
31,Female,172.7,65.8,High Activity,7.0,0.0,22.05,Normal,Fat Loss
47,Female,182.9,77.1,High Activity,8.0,3.0,23.06,Normal,Fat Loss
20,Female,175.3,65.8,High Activity,5.0,3.0,21.41,Normal,Fat Loss
37,Female,188.0,113.4,Moderate Activity,3.0,2.0,32.1,Obese,Fat Loss
33,Female,154.9,72.6,High Activity,5.0,1.0,30.23,Obese,Fat Loss
44,Male,193.0,90.7,High Activity,10.0,1.0,24.34,Normal,Fat Loss
47,Female,154.9,76.2,High Activity,38.0,3.0,31.74,Obese,Fat Loss
64,Male,182.9,90.7,High Activity,15.0,20.0,27.12,Overweight,Fat Loss
54,Female,175.3,79.4,High Activity,25.0,10.0,25.84,Overweight,Fat Loss
19,Female,182.9,81.6,High Activity,20.0,35.0,24.41,Normal,Fat Loss
52,Male,182.9,95.3,High Activity,8.0,4.0,28.48,Overweight,Fat Loss
47,Female,165.1,83.9,High Activity,35.0,0.0,30.79,Obese,Fat Loss
51,Male,180.3,96.2,High Activity,8.0,10.0,29.57,Overweight,Fat Loss
36,Male,182.9,81.6,High Activity,14.0,1.0,24.41,Normal,Fat Loss
34,Female,162.6,65.8,High Activity,15.0,0.0,24.89,Normal,Fat Loss
46,Male,188.0,102.1,High Activity,8.0,0.0,28.89,Overweight,Fat Loss
44,Female,165.1,70.3,High Activity,8.0,0.0,25.79,Overweight,Fat Loss
22,Female,172.7,74.8,High Activity,15.0,0.0,25.09,Overweight,Fat Loss
19,Male,182.9,74.8,High Activity,8.0,0.0,22.38,Normal,Fat Loss
30,Female,167.6,59.0,High Activity,5.0,0.0,20.98,Normal,Fat Loss
46,Male,172.7,81.6,Moderate Activity,3.0,0.0,27.37,Overweight,Fat Loss
47,Female,165.1,56.7,High Activity,5.0,0.0,20.8,Normal,Fat Loss
50,Female,167.6,65.8,High Activity,100.0,200.0,23.4,Normal,Fat Loss
50,Female,167.6,86.2,High Activity,100.0,150.0,30.67,Obese,Fat Loss
55,Male,182.9,113.4,Low Activity,2.0,0.0,33.91,Obese,Fat Loss
51,Female,172.7,81.6,High Activity,7.0,2.0,27.37,Overweight,Fat Loss
18,Female,170.2,54.4,High Activity,5.0,2.0,18.79,Normal,Fat Loss
51,Female,170.2,90.7,High Activity,3.0,4.0,31.32,Obese,Fat Loss
64,Female,167.6,63.5,High Activity,10.0,0.0,22.6,Normal,Fat Loss
48,Male,175.3,90.7,High Activity,10.0,5.0,29.53,Overweight,Fat Loss
61,Male,167.6,127.0,High Activity,20.0,0.0,45.19,Obese,Fat Loss
52,Male,175.3,72.6,High Activity,8.0,4.0,23.63,Normal,Fat Loss
53,Female,172.7,63.5,High Activity,12.0,3.0,21.29,Normal,Fat Loss
63,Female,167.6,90.7,High Activity,30.0,2.0,32.28,Obese,Fat Loss
40,Male,188.0,86.2,High Activity,40.0,2.0,24.39,Normal,Fat Loss
31,Female,165.1,54.4,High Activity,30.0,1.0,19.97,Normal,Fat Loss
45,Male,180.3,79.4,High Activity,10.0,0.0,24.41,Normal,Fat Loss
23,Male,180.3,65.8,High Activity,8.0,0.0,20.22,Normal,Fat Loss
65,Male,154.9,86.2,High Activity,21.0,3.0,35.9,Obese,Fat Loss
62,Female,162.6,63.5,High Activity,10.0,1.0,24.03,Normal,Fat Loss
50,Female,167.6,63.5,High Activity,3.0,4.0,22.6,Normal,Fat Loss
48,Female,154.9,102.1,Low Activity,2.0,0.0,42.51,Obese,Fat Loss
63,Female,162.6,97.5,High Activity,10.0,0.0,36.9,Obese,Fat Loss
30,Male,182.9,86.2,High Activity,10.0,5.0,25.77,Overweight,Fat Loss
30,Female,157.5,49.9,High Activity,8.0,2.0,20.12,Normal,Fat Loss
58,Male,154.9,81.6,Moderate Activity,4.0,0.0,34.01,Obese,Fat Loss
62,Male,182.9,83.9,High Activity,15.0,0.0,25.09,Overweight,Fat Loss
33,Male,188.0,86.2,High Activity,15.0,15.0,24.39,Normal,Fat Loss
58,Male,175.3,90.7,High Activity,25.0,5.0,29.53,Overweight,Fat Loss
56,Female,160.0,81.6,High Activity,20.0,0.0,31.89,Obese,Fat Loss
35,Male,182.9,99.8,High Activity,20.0,10.0,29.84,Overweight,Fat Loss
32,Male,154.9,77.1,Moderate Activity,2.0,2.0,32.12,Obese,Fat Loss
32,Female,165.1,59.0,Moderate Activity,3.0,0.0,21.63,Normal,Fat Loss
43,Male,175.3,74.8,High Activity,90.0,0.0,24.37,Normal,Fat Loss
41,Female,160.0,49.9,Low Activity,0.0,0.0,19.49,Normal,Fat Loss
50,Male,165.1,61.2,High Activity,5.0,1.0,22.46,Normal,Fat Loss
49,Female,157.5,70.3,Moderate Activity,3.0,0.0,28.35,Overweight,Fat Loss
21,Male,172.7,79.4,High Activity,5.0,3.0,26.61,Overweight,Fat Loss
31,Male,180.3,86.2,Moderate Activity,4.0,2.0,26.5,Overweight,Fat Loss
30,Female,157.5,61.2,Moderate Activity,4.0,2.0,24.69,Normal,Fat Loss
53,Male,180.3,77.1,High Activity,10.0,0.0,23.71,Normal,Fat Loss
43,Male,172.7,73.9,Moderate Activity,3.0,2.0,24.78,Normal,Fat Loss
42,Female,170.2,62.6,Moderate Activity,4.0,0.0,21.61,Normal,Fat Loss
43,Male,188.0,90.7,High Activity,12.0,2.0,25.68,Overweight,Fat Loss
42,Female,182.9,81.6,High Activity,12.0,0.0,24.41,Normal,Fat Loss
65,Female,165.1,68.0,High Activity,12.0,1.0,24.96,Normal,Fat Loss
49,Male,172.7,72.6,High Activity,20.0,0.0,24.33,Normal,Fat Loss
49,Female,157.5,68.0,High Activity,15.0,0.0,27.44,Overweight,Fat Loss
62,Male,182.9,113.4,High Activity,40.0,10.0,33.91,Obese,Fat Loss
58,Female,162.6,54.4,High Activity,60.0,20.0,20.6,Normal,Fat Loss
28,Female,180.3,72.6,High Activity,4.0,5.0,22.32,Normal,Fat Loss
33,Female,172.7,84.8,Moderate Activity,4.0,0.0,28.43,Overweight,Fat Loss
31,Male,182.9,93.0,High Activity,40.0,20.0,27.8,Overweight,Fat Loss
32,Female,167.6,56.2,High Activity,56.0,0.0,20.01,Normal,Fat Loss
51,Male,180.3,99.8,Low Activity,2.0,0.0,30.68,Obese,Fat Loss
49,Female,154.9,47.6,High Activity,20.0,1.0,19.84,Normal,Fat Loss
50,Male,172.7,81.6,High Activity,18.0,2.0,27.37,Overweight,Fat Loss
61,Male,193.0,97.5,High Activity,40.0,0.0,26.17,Overweight,Fat Loss
54,Female,154.9,77.1,High Activity,20.0,10.0,32.12,Obese,Fat Loss
64,Male,193.0,115.7,High Activity,40.0,4.0,31.04,Obese,Fat Loss
35,Male,180.3,99.8,Moderate Activity,3.0,0.0,30.68,Obese,Fat Loss
30,Female,170.2,77.1,High Activity,5.0,0.0,26.63,Overweight,Fat Loss
26,Male,193.0,88.5,High Activity,5.0,0.0,23.74,Normal,Fat Loss
25,Female,167.6,61.2,High Activity,5.0,0.0,21.79,Normal,Fat Loss
58,Female,154.9,81.6,Moderate Activity,4.0,0.0,34.01,Obese,Fat Loss
50,Male,185.4,81.6,High Activity,40.0,20.0,23.75,Normal,Fat Loss
43,Female,170.2,65.8,High Activity,40.0,5.0,22.71,Normal,Fat Loss
21,Female,157.5,47.6,High Activity,20.0,2.0,19.2,Normal,Fat Loss
64,Male,167.6,99.8,Low Activity,2.0,0.0,35.51,Obese,Fat Loss
61,Female,162.6,86.2,Low Activity,2.0,0.0,32.61,Obese,Fat Loss
42,Male,167.6,54.0,High Activity,10.0,12.0,19.21,Normal,Fat Loss
40,Female,152.4,49.9,High Activity,10.0,2.0,21.48,Normal,Fat Loss
36,Male,172.7,104.3,High Activity,50.0,0.0,34.97,Obese,Fat Loss
47,Female,167.6,72.6,High Activity,20.0,0.0,25.82,Overweight,Fat Loss
20,Female,165.1,59.0,High Activity,5.0,0.0,21.63,Normal,Fat Loss
39,Female,172.7,72.6,High Activity,5.0,0.0,24.33,Normal,Fat Loss
41,Male,180.3,86.2,High Activity,10.0,0.0,26.5,Overweight,Fat Loss
47,Male,182.9,74.8,High Activity,35.0,4.0,22.38,Normal,Fat Loss
58,Female,162.6,122.5,Low Activity,0.0,0.0,46.34,Obese,Fat Loss
26,Female,167.6,106.6,High Activity,40.0,4.0,37.93,Obese,Fat Loss
29,Male,172.7,72.6,High Activity,5.0,7.0,24.33,Normal,Fat Loss
27,Female,170.2,79.4,High Activity,5.0,6.0,27.41,Overweight,Fat Loss
32,Male,188.0,99.8,High Activity,10.0,0.0,28.25,Overweight,Fat Loss
31,Female,165.1,104.3,High Activity,20.0,0.0,38.27,Obese,Fat Loss
59,Male,180.3,89.8,High Activity,12.0,0.0,27.62,Overweight,Fat Loss
50,Female,165.1,99.8,High Activity,5.0,0.0,36.61,Obese,Fat Loss
51,Male,182.9,122.5,High Activity,60.0,8.0,36.62,Obese,Fat Loss
53,Male,175.3,90.7,High Activity,14.0,0.0,29.53,Overweight,Fat Loss
37,Male,188.0,79.4,High Activity,49.0,28.0,22.47,Normal,Fat Loss
38,Female,154.9,81.6,High Activity,42.0,35.0,34.01,Obese,Fat Loss
64,Male,170.2,77.1,High Activity,0.0,7.0,26.63,Overweight,Fat Loss
61,Female,165.1,63.5,High Activity,15.0,0.0,23.3,Normal,Fat Loss
20,Male,154.9,59.0,High Activity,10.0,0.0,24.56,Normal,Fat Loss
24,Male,172.7,81.6,High Activity,8.0,0.0,27.37,Overweight,Fat Loss
50,Male,172.7,72.6,Low Activity,0.0,0.0,24.33,Normal,Fat Loss
63,Female,175.3,68.5,High Activity,0.0,5.0,22.3,Normal,Fat Loss
42,Male,182.9,72.6,High Activity,6.0,0.0,21.7,Normal,Fat Loss
51,Male,193.0,104.3,High Activity,5.0,0.0,28.0,Overweight,Fat Loss
40,Female,170.2,79.4,High Activity,5.0,0.0,27.41,Overweight,Fat Loss
18,Male,180.3,81.6,Moderate Activity,3.0,0.0,25.1,Overweight,Fat Loss
43,Male,190.5,106.6,High Activity,4.0,3.0,29.37,Overweight,Fat Loss
26,Male,172.7,99.8,Low Activity,2.0,0.0,33.45,Obese,Fat Loss
25,Female,165.1,90.7,Moderate Activity,1.0,2.0,33.28,Obese,Fat Loss
36,Female,157.5,65.8,Low Activity,2.0,0.0,26.52,Overweight,Fat Loss
36,Male,175.3,77.1,Low Activity,1.0,0.0,25.1,Overweight,Fat Loss
63,Male,167.6,74.8,High Activity,5.0,1.0,26.63,Overweight,Fat Loss
50,Male,193.0,108.9,High Activity,20.0,10.0,29.21,Overweight,Fat Loss
34,Female,162.6,63.5,High Activity,40.0,20.0,24.03,Normal,Fat Loss
24,Male,193.0,120.2,High Activity,40.0,20.0,32.26,Obese,Fat Loss
22,Female,167.6,65.8,High Activity,20.0,20.0,23.4,Normal,Fat Loss
60,Male,154.9,79.4,High Activity,5.0,3.0,33.07,Obese,Fat Loss
39,Female,172.7,84.8,High Activity,5.0,0.0,28.43,Overweight,Fat Loss
53,Male,172.7,74.8,High Activity,8.0,4.0,25.09,Overweight,Fat Loss
47,Female,170.2,104.3,Low Activity,0.0,0.0,36.02,Obese,Fat Loss
49,Male,180.3,68.0,High Activity,40.0,5.0,20.92,Normal,Fat Loss
50,Female,167.6,106.6,High Activity,40.0,1.0,37.93,Obese,Fat Loss
18,Male,180.3,63.5,High Activity,40.0,1.0,19.53,Normal,Fat Loss
48,Female,167.6,88.5,High Activity,7.0,3.0,31.47,Obese,Fat Loss
