age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,workout_template_id,nutrition_template_id,tdee_bmr_ratio,height_bin,weight_bin,split,gender_encoded,combo_stratify,age_group,data_source,goal_encoded,BMI_Goal_interaction,Age_Activity_interaction,BMI_Activity_interaction,Age_Goal_interaction,BMR_per_weight,activity_efficiency,BMI_deviation,weight_height_ratio,metabolic_score,high_metabolism,vigorous_activity,very_active,young_adult,optimal_BMI
61,Male,154.9,102.1,High Activity,10.0,0.0,42.55228700829914,Obese,Fat Loss,1853.2638,1.81,3354.4074780000005,3.0,3.0,1.81,150-165,101-150,train,,,,,0,0.0,122,85.10457401659828,0,18.15145739471107,1.0000000000000002,20.05228700829914,0.6591349257585538,0.29756487532313225,1,0,0,0,0
48,Female,157.5,95.3,High Activity,25.0,20.0,38.41773746535652,Obese,Fat Loss,1608.9271,1.81,2912.1580510000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,96,76.83547493071303,0,16.882760755508922,1.0,15.917737465356517,0.6050793650793651,0.3517241824064359,1,0,0,0,0
34,Male,172.7,93.0,High Activity,3.0,3.0,31.181591193245737,Obese,Fat Loss,1970.0523000000003,1.81,3565.7946630000006,3.0,3.0,,,,train,0.0,Fat Loss_High Activity_Obese,,,0,0.0,68,62.363182386491474,0,21.18335806451613,1.0,8.681591193245737,0.5385060799073538,0.6230399430740039,1,0,0,0,0
60,Female,165.1,83.9,High Activity,28.0,0.0,30.77994321669117,Obese,Fat Loss,1475.0961,1.81,2669.923941,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,120,61.55988643338234,0,17.58159833134684,1.0,8.27994321669117,0.5081768625075712,0.2930266388557807,1,0,0,0,0
57,Male,154.9,117.9,High Activity,6.0,0.0,49.13726384210058,Obese,Fat Loss,2087.6444,1.81,3778.636364,3.0,3.0,1.81,150-165,101-150,train,,,,,0,0.0,114,98.27452768420116,0,17.706907548770143,0.9999999999999999,26.63726384210058,0.7611362169141381,0.3106475008556166,1,0,0,0,0
45,Male,154.9,78.5,High Activity,10.0,4.0,32.71649882616536,Obese,Fat Loss,1627.9266000000005,1.81,2946.547146000001,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,90,65.43299765233073,0,20.737918471337586,1.0,10.216498826165363,0.5067785668173015,0.4608426326963908,1,0,0,0,0
56,Female,157.5,81.6,High Activity,10.0,0.0,32.89493575207861,Obese,Fat Loss,1447.6031999999998,1.81,2620.161792,3.0,3.0,1.8100000000000005,150-165,71-100,train,,,,,0,0.0,112,65.78987150415722,0,17.740235294117646,1.0,10.39493575207861,0.518095238095238,0.31678991596638656,1,0,0,0,0
37,Female,172.7,124.7,High Activity,5.0,6.0,41.810155073094016,Obese,Fat Loss,1975.5085,1.81,3575.670385,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,74,83.62031014618803,0,15.842089013632718,1.0,19.310155073094016,0.7220613781123336,0.42816456793601937,1,0,0,0,0
65,Male,165.1,108.9,High Activity,10.0,5.0,39.95155919305922,Obese,Fat Loss,1970.6052,1.81,3566.795412,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,130,79.90311838611844,0,18.095548209366388,1.0,17.451559193059218,0.6596002422774077,0.27839304937486753,1,0,0,0,0
51,Female,170.2,90.7,High Activity,3.0,4.0,31.310368254117297,Obese,Fat Loss,1592.7455,1.81,2882.8693550000003,3.0,3.0,,,,train,1.0,Fat Loss_High Activity_Obese,,,0,0.0,102,62.62073650823459,0,17.56058985667034,1.0,8.810368254117297,0.5329024676850764,0.34432529130726164,1,0,0,0,0
28,Male,175.3,104.3,High Activity,15.0,5.0,33.940675084257805,Obese,Fat Loss,2167.9778,1.81,3924.039818,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,56,67.88135016851561,0,20.785980824544584,1.0,11.440675084257805,0.5949800342270393,0.7423564580194494,1,0,0,1,0
58,Female,172.7,111.1,High Activity,20.0,0.0,37.25026646849034,Obese,Fat Loss,1758.8193,1.81,3183.462933,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,116,74.50053293698068,0,15.830956795679569,0.9999999999999999,14.750266468490338,0.643312101910828,0.2729475309599926,1,0,0,0,0
54,Female,154.9,90.7,High Activity,5.0,0.0,37.80110119150571,Obese,Fat Loss,1532.3561000000002,1.81,2773.5645410000006,3.0,3.0,1.8100000000000005,150-165,71-100,train,,,,,0,0.0,108,75.60220238301142,0,16.894775082690188,1.0,15.301101191505708,0.5855390574564235,0.3128662052350035,1,0,0,0,0
37,Male,170.2,88.5,High Activity,9.0,3.0,30.55091058973959,Obese,Fat Loss,1880.7373,1.81,3404.1345130000004,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,74,61.10182117947918,0,21.25126892655367,1.0000000000000002,8.05091058973959,0.5199764982373678,0.5743586196365857,1,0,0,0,0
42,Male,154.9,77.1,High Activity,30.0,5.0,32.133019866208265,Obese,Fat Loss,1626.2018,1.81,2943.425258,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,84,64.26603973241653,0,21.092111543450066,1.0,9.633019866208265,0.49774047772756613,0.5021931319869063,1,0,0,0,0
63,Female,167.6,90.7,High Activity,6.0,1.0,32.289346722791514,Obese,Fat Loss,1532.7307,1.81,2774.242567,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,126,64.57869344558303,0,16.898905181918412,0.9999999999999999,9.789346722791514,0.5411694510739857,0.26823659018918117,1,0,0,0,0
33,Male,185.4,120.2,High Activity,40.0,0.0,34.96914453020903,Obese,Fat Loss,2401.0750000000003,1.81,4345.945750000001,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,66,69.93828906041806,0,19.975665557404326,1.0,12.469144530209029,0.6483279395900755,0.6053231987092221,1,0,0,0,0
48,Male,185.4,136.1,High Activity,10.0,0.0,39.59484667688393,Obese,Fat Loss,2528.9323,1.81,4577.367463,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,96,79.18969335376786,0,18.58142762674504,1.0,17.094846676883932,0.7340884573894282,0.3871130755571884,1,0,0,0,0
51,Male,154.9,86.2,High Activity,5.0,1.0,35.92563310592935,Obese,Fat Loss,1697.0215000000003,1.81,3071.6089150000007,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,102,71.8512662118587,0,19.687024361948957,1.0,13.42563310592935,0.5564880568108457,0.386020085528411,1,0,0,0,0
51,Male,154.9,94.8,High Activity,20.0,3.0,39.509861002808606,Obese,Fat Loss,1812.2357,1.81,3280.1466170000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,102,79.01972200561721,0,19.116410337552743,1.0000000000000002,17.009861002808606,0.6120077469335055,0.3748315752461322,1,0,0,0,0
39,Female,170.2,93.0,High Activity,10.0,3.0,32.104346721421265,Obese,Fat Loss,1665.9736000000005,1.81,3015.4122160000006,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,78,64.20869344284253,0,17.913694623655918,0.9999999999999999,9.604346721421265,0.5464159811985899,0.4593255031706646,1,0,0,0,0
55,Male,185.4,111.1,High Activity,20.0,6.0,32.32173009406176,Obese,Fat Loss,2154.2683,1.81,3899.225623,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,110,64.64346018812353,0,19.39035373537354,0.9999999999999999,9.821730094061763,0.5992448759439051,0.3525518860977007,1,0,0,0,0
42,Male,154.9,90.7,High Activity,5.0,4.0,37.80110119150571,Obese,Fat Loss,1808.401,1.81,3273.2058100000004,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,84,75.60220238301142,0,19.93826901874311,1.0,15.301101191505708,0.5855390574564235,0.474720690922455,1,0,0,0,0
63,Female,157.5,83.9,High Activity,20.0,10.0,33.82212144116907,Obese,Fat Loss,1438.5613,1.81,2603.7959530000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,126,67.64424288233813,0,17.146141835518474,1.0,11.322121441169067,0.5326984126984128,0.27216098151616624,1,0,0,0,0
37,Male,154.9,79.4,High Activity,5.0,1.0,33.09159244328063,Obese,Fat Loss,1685.3999000000003,1.81,3050.5738190000006,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,74,66.18318488656126,0,21.22669899244333,1.0,10.591592443280632,0.5125887669464171,0.5736945673633332,1,0,0,0,0
57,Female,170.2,87.1,High Activity,2.0,3.0,30.06761934877196,Obese,Fat Loss,1533.4762999999998,1.81,2775.592103,3.0,3.0,1.8100000000000005,166-180,71-100,train,,,,,0,0.0,114,60.13523869754392,0,17.60592766934558,1.0,7.567619348771959,0.5117508813160987,0.30887592402360664,1,0,0,0,0
43,Male,154.9,86.2,High Activity,20.0,40.0,35.92563310592935,Obese,Fat Loss,1742.4375000000005,1.81,3153.811875000001,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,86,71.8512662118587,0,20.213892111368914,1.0,13.42563310592935,0.5564880568108457,0.4700905142178817,1,0,0,0,0
57,Female,157.5,95.3,High Activity,10.0,0.0,38.41773746535652,Obese,Fat Loss,1569.9571,1.81,2841.6223510000004,3.0,3.0,1.8100000000000005,150-165,71-100,train,,,,,0,0.0,114,76.83547493071303,0,16.473841552990557,1.0,15.917737465356517,0.6050793650793651,0.28901476408755367,1,0,0,0,0
34,Male,154.9,81.6,High Activity,10.0,2.0,34.00848795178462,Obese,Fat Loss,1731.9043,1.81,3134.7467830000005,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,68,68.01697590356925,0,21.224317401960786,1.0000000000000002,11.508487951784623,0.5267914783731439,0.6242446294694349,1,0,0,0,0
59,Male,188.0,113.4,High Activity,30.0,15.0,32.084653689452246,Obese,Fat Loss,2174.8508,1.81,3936.4799480000006,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,118,64.16930737890449,0,19.17857848324515,1.0,9.584653689452246,0.6031914893617022,0.32506065225839237,1,0,0,0,0
46,Male,154.9,90.7,High Activity,10.0,2.0,37.80110119150571,Obese,Fat Loss,1785.693,1.81,3232.10433,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,92,75.60220238301142,0,19.68790518191841,1.0,15.301101191505708,0.5855390574564235,0.4279979387373568,1,0,0,0,0
63,Female,160.0,79.4,High Activity,6.0,0.0,31.015625,Obese,Fat Loss,1404.6948000000002,1.81,2542.4975880000006,3.0,3.0,1.8100000000000005,150-165,71-100,train,,,,,0,0.0,126,62.03125,0,17.691370277078086,1.0,8.515625,0.49625,0.28081540122346166,1,0,0,0,0
64,Male,154.9,72.6,High Activity,35.0,5.0,30.257551780631907,Obese,Fat Loss,1441.0213,1.81,2608.248553,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,128,60.515103561263814,0,19.848778236914605,0.9999999999999998,7.757551780631907,0.4686894770819883,0.3101371599517907,1,0,0,0,0
50,Male,188.0,113.4,High Activity,6.0,1.0,32.084653689452246,Obese,Fat Loss,2225.9438000000005,1.81,4028.958278000001,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,100,64.16930737890449,0,19.629134038800707,1.0,9.584653689452246,0.6031914893617022,0.3925826807760142,1,0,0,0,0
59,Female,160.0,79.4,High Activity,35.0,0.0,31.015625,Obese,Fat Loss,1422.0148000000002,1.81,2573.8467880000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,118,62.03125,0,17.90950629722922,1.0,8.515625,0.49625,0.30355095419032574,1,0,0,0,0
56,Male,154.9,86.2,High Activity,20.0,1.0,35.92563310592935,Obese,Fat Loss,1668.6365000000003,1.81,3020.2320650000006,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,112,71.8512662118587,0,19.35773201856149,1.0,13.42563310592935,0.5564880568108457,0.3456737860457409,1,0,0,0,0
50,Female,154.9,81.6,High Activity,30.0,12.0,34.00848795178462,Obese,Fat Loss,1465.5284,1.81,2652.606404,3.0,3.0,1.8100000000000005,150-165,71-100,train,,,,,0,0.0,100,68.01697590356925,0,17.959906862745097,1.0,11.508487951784623,0.5267914783731439,0.35919813725490196,1,0,0,0,0
64,Male,172.7,97.5,High Activity,5.0,10.0,32.69037786388666,Obese,Fat Loss,1860.0288,1.81,3366.652128,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,128,65.38075572777332,0,19.07721846153846,1.0,10.19037786388666,0.5645628257093226,0.29808153846153845,1,0,0,0,0
45,Male,182.9,104.3,High Activity,6.0,0.0,31.1786206135821,Obese,Fat Loss,2107.9412,1.81,3815.373572,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,90,62.3572412271642,0,20.21036625119847,0.9999999999999999,8.678620613582101,0.5702569710224166,0.4491192500266326,1,0,0,0,0
25,Male,193.0,124.7,High Activity,20.0,10.0,33.47740878949771,Obese,Fat Loss,2543.2499,1.81,4603.282319,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,50,66.95481757899542,0,20.39494707297514,1.0,10.977408789497709,0.6461139896373057,0.8157978829190056,1,0,0,1,0
35,Female,162.6,79.4,High Activity,4.0,3.0,30.031665630309444,Obese,Fat Loss,1533.9896,1.81,2776.521176,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,70,60.06333126061889,0,19.319768261964736,1.0,7.531665630309444,0.48831488314883154,0.5519933789132782,1,0,0,0,0
36,Female,154.9,77.1,High Activity,10.0,0.0,32.133019866208265,Obese,Fat Loss,1484.5369,1.81,2687.011789,3.0,3.0,,,,train,1.0,Fat Loss_High Activity_Obese,,,0,0.0,72,64.26603973241653,0,19.254693904020755,1.0,9.633019866208265,0.49774047772756613,0.5348526084450209,1,0,0,0,0
39,Male,154.9,86.2,High Activity,7.0,2.0,35.92563310592935,Obese,Fat Loss,1765.1455000000003,1.81,3194.9133550000006,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,78,71.8512662118587,0,20.47732598607889,1.0,13.42563310592935,0.5564880568108457,0.5250596406686895,1,0,0,0,0
35,Male,154.9,99.8,High Activity,6.0,0.0,41.59371443122679,Obese,Fat Loss,1970.0527000000004,1.81,3565.795387000001,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,70,83.18742886245359,0,19.740007014028063,1.0,19.093714431226793,0.644286636539703,0.5640002004008017,1,0,0,0,0
36,Male,180.3,122.0,High Activity,10.0,5.0,37.529119674517936,Obese,Fat Loss,2383.6837,1.81,4314.467497000001,3.0,3.0,1.8100000000000005,181-200,101-150,train,,,,,0,0.0,72,75.05823934903587,0,19.538390983606558,1.0,15.029119674517936,0.6766500277315585,0.54273308287796,1,0,0,0,0
45,Female,154.9,77.1,High Activity,5.0,0.0,32.133019866208265,Obese,Fat Loss,1445.5669,1.81,2616.476089,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,90,64.26603973241653,0,18.749246433203634,0.9999999999999998,9.633019866208265,0.49774047772756613,0.41664992073785856,1,0,0,0,0
60,Male,154.9,117.9,High Activity,9.0,0.0,49.13726384210058,Obese,Fat Loss,2070.6134,1.81,3747.810254,3.0,3.0,1.81,150-165,101-150,train,,,,,0,0.0,120,98.27452768420116,0,17.562454622561493,0.9999999999999999,26.63726384210058,0.7611362169141381,0.29270757704269157,1,0,0,0,0
50,Female,167.6,89.8,High Activity,28.0,6.0,31.96894526688729,Obese,Fat Loss,1580.6984,1.81,2861.064104,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,100,63.93789053377458,0,17.602432071269487,1.0,9.468945266887289,0.535799522673031,0.3520486414253898,1,0,0,0,0
53,Male,154.9,92.1,High Activity,45.0,1.0,38.38458015146279,Obese,Fat Loss,1764.7098,1.81,3194.1247380000004,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,106,76.76916030292558,0,19.1608013029316,1.0,15.884580151462792,0.5945771465461588,0.3615245528855019,1,0,0,0,0
51,Female,165.1,90.7,High Activity,7.0,4.0,33.27462276226328,Obese,Fat Loss,1576.9457000000002,1.81,2854.2717170000005,3.0,3.0,,,,train,1.0,Fat Loss_High Activity_Obese,,,0,0.0,102,66.54924552452655,0,17.38639140022051,1.0,10.774622762263277,0.5493640218049667,0.34090963529844137,1,0,0,0,0
65,Male,185.4,111.1,High Activity,10.0,2.0,32.32173009406176,Obese,Fat Loss,2097.4983,1.81,3796.471923000001,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,130,64.64346018812353,0,18.879372637263728,1.0000000000000002,9.821730094061763,0.5992448759439051,0.2904518867271343,1,0,0,0,0
64,Male,154.9,77.1,High Activity,20.0,0.0,32.133019866208265,Obese,Fat Loss,1501.3078,1.81,2717.367118,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,128,64.26603973241653,0,19.472215304798965,1.0,9.633019866208265,0.49774047772756613,0.30425336413748383,1,0,0,0,0
48,Female,152.4,86.2,High Activity,3.0,5.0,37.11396311681512,Obese,Fat Loss,1508.9796,1.81,2731.2530760000004,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,96,74.22792623363024,0,17.505563805104405,1.0000000000000002,14.613963116815121,0.5656167979002624,0.3646992459396751,1,0,0,0,0
51,Male,172.7,113.4,High Activity,42.0,0.0,38.02142410015126,Obese,Fat Loss,2146.8421,1.81,3885.784201,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,102,76.04284820030252,0,18.931588183421514,1.0,15.521424100151258,0.6566299942096121,0.37120761143963754,1,0,0,0,0
42,Female,154.9,93.0,High Activity,10.0,2.0,38.75967376857807,Obese,Fat Loss,1605.5842000000002,1.81,2906.1074020000005,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,84,77.51934753715614,0,17.264346236559142,1.0,16.259673768578068,0.6003873466752744,0.41105586277521766,1,0,0,0,0
64,Male,170.2,108.9,High Activity,20.0,0.0,37.59315438669651,Obese,Fat Loss,2000.7571000000005,1.81,3621.370351000001,3.0,3.0,,,,train,0.0,Fat Loss_High Activity_Obese,,,0,0.0,128,75.18630877339302,0,18.37242516069789,1.0,15.093154386696511,0.6398354876615747,0.28706914313590454,1,0,0,0,0
56,Female,165.1,102.1,High Activity,5.0,0.0,37.4568796474871,Obese,Fat Loss,1660.7115,1.81,3005.887815,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,112,74.9137592949742,0,16.265538687561214,1.0,14.9568796474871,0.6184130829800121,0.29045604799216457,1,0,0,0,0
53,Male,154.9,79.4,High Activity,8.0,2.0,33.09159244328063,Obese,Fat Loss,1594.5679000000005,1.81,2886.167899000001,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,106,66.18318488656126,0,20.08271914357683,1.0,10.591592443280632,0.5125887669464171,0.3789192291240911,1,0,0,0,0
45,Male,172.7,97.5,High Activity,3.0,4.0,32.69037786388666,Obese,Fat Loss,1967.8918,1.81,3561.8841580000003,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,90,65.38075572777332,0,20.183505641025643,1.0,10.19037786388666,0.5645628257093226,0.4485223475783476,1,0,0,0,0
58,Female,172.7,119.7,High Activity,12.0,1.0,40.13372543904855,Obese,Fat Loss,1838.3435,1.81,3327.4017350000004,3.0,3.0,1.81,166-180,101-150,train,,,,,0,0.0,116,80.2674508780971,0,15.357923976608186,1.0000000000000002,17.633725439048547,0.6931094383323684,0.26479179270014114,1,0,0,0,0
48,Male,182.9,108.9,High Activity,10.0,10.0,32.553708387527244,Obese,Fat Loss,2152.5364,1.81,3896.090884,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,96,65.10741677505449,0,19.766174471992652,1.0,10.053708387527244,0.5954073264078732,0.4117953014998469,1,0,0,0,0
44,Female,170.2,90.7,High Activity,5.0,0.0,31.310368254117297,Obese,Fat Loss,1623.0555,1.81,2937.730455,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,88,62.62073650823459,0,17.894768467475192,1.0,8.810368254117297,0.5329024676850764,0.4066992833517089,1,0,0,0,0
60,Male,182.9,113.4,High Activity,15.0,5.0,33.89890294899531,Obese,Fat Loss,2144.6989000000003,1.81,3881.905009000001,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,120,67.79780589799061,0,18.912688712522048,1.0000000000000002,11.398902948995307,0.6200109349371241,0.31521147854203413,1,0,0,0,0
43,Male,154.9,86.2,High Activity,6.0,2.0,35.92563310592935,Obese,Fat Loss,1742.4375000000005,1.81,3153.811875000001,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,86,71.8512662118587,0,20.213892111368914,1.0,13.42563310592935,0.5564880568108457,0.4700905142178817,1,0,0,0,0
35,Male,190.5,113.4,High Activity,8.0,4.0,31.248062496124994,Obese,Fat Loss,2323.0963,1.81,4204.804303000001,3.0,3.0,1.8100000000000005,181-200,101-150,train,,,,,0,0.0,70,62.49612499224999,0,20.485858024691357,1.0,8.748062496124994,0.5952755905511812,0.585310229276896,1,0,0,0,0
40,Male,172.7,90.7,High Activity,45.0,5.0,30.41043356158482,Obese,Fat Loss,1905.1772,1.81,3448.3707320000003,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,80,60.82086712316964,0,21.00526130099228,1.0,7.910433561584821,0.5251881876085698,0.525131532524807,1,0,0,0,0
20,Female,154.9,81.6,High Activity,20.0,10.0,34.00848795178462,Obese,Fat Loss,1595.4284,1.81,2887.7254040000003,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,40,68.01697590356925,0,19.55181862745098,1.0,11.508487951784623,0.5267914783731439,0.977590931372549,1,0,0,1,0
48,Male,154.9,104.3,High Activity,80.0,2.0,43.46918251680314,Obese,Fat Loss,1956.5382,1.81,3541.334142,3.0,3.0,1.81,150-165,101-150,train,,,,,0,0.0,96,86.93836503360627,0,18.758755512943434,1.0,20.969182516803137,0.6733376371852808,0.39080740651965484,1,0,0,0,0
61,Female,157.5,90.7,High Activity,5.0,0.0,36.563366087175616,Obese,Fat Loss,1510.1009,1.81,2733.282629,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,122,73.12673217435123,0,16.64940352811466,1.0,14.063366087175616,0.5758730158730159,0.27294104144450265,1,0,0,0,0
64,Male,170.2,99.8,High Activity,20.0,4.0,34.4517613204069,Obese,Fat Loss,1878.8444000000004,1.81,3400.708364000001,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,128,68.9035226408138,0,18.826096192384774,1.0,11.951761320406902,0.5863689776733255,0.2941577530060121,1,0,0,0,0
22,Male,190.5,127.0,High Activity,5.0,0.0,34.99562554680665,Obese,Fat Loss,2579.096500000001,1.81,4668.164665000001,3.0,3.0,1.81,181-200,101-150,train,,,,,0,0.0,44,69.9912510936133,0,20.30784645669292,0.9999999999999998,12.49562554680665,0.6666666666666666,0.9230839298496782,1,0,0,1,0
64,Female,175.3,95.3,High Activity,10.0,0.0,31.01194952569289,Obese,Fat Loss,1594.7915000000005,1.81,2886.5726150000005,3.0,3.0,,,,train,1.0,Fat Loss_High Activity_Obese,,,0,0.0,128,62.02389905138578,0,16.734433368310604,0.9999999999999999,8.511949525692891,0.5436394751853965,0.2614755213798532,1,0,0,0,0
32,Female,165.1,95.3,High Activity,5.0,2.0,34.962200101914995,Obese,Fat Loss,1701.7519000000002,1.81,3080.1709390000005,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,64,69.92440020382999,0,17.85678803777545,1.0,12.462200101914995,0.5772259236826166,0.5580246261804828,1,0,0,0,0
47,Female,152.4,81.6,High Activity,4.0,3.0,35.133403600140525,Obese,Fat Loss,1470.7733999999998,1.81,2662.099854,3.0,3.0,1.81,150-165,71-100,train,,,,,0,0.0,94,70.26680720028105,0,18.02418382352941,1.0000000000000002,12.633403600140525,0.5354330708661417,0.3834932728410513,1,0,0,0,0
48,Female,165.1,83.9,High Activity,14.0,0.0,30.77994321669117,Obese,Fat Loss,1527.0561,1.81,2763.971541,3.0,3.0,1.81,166-180,71-100,train,,,,,0,0.0,96,61.55988643338234,0,18.200907032181167,1.0,8.27994321669117,0.5081768625075712,0.379185563170441,1,0,0,0,0
