age,gender,height_cm,weight_kg,activity_level,Mod_act,Vig_act,bmi,bmi_category,fitness_goal,bmr,activity_multiplier,tdee,gender_encoded,workout_template_id,nutrition_template_id
60,Female,170.2,74.8,High Activity,7.0,0.0,25.821560588842047,Overweight,Fat Loss,1406.7481999999998,1.81,2546.2142419999996,1,3.0,2.0
35,Female,162.6,77.1,High Activity,40.0,2.0,29.161730731698462,Overweight,Fat Loss,1512.7214999999999,1.81,2738.0259149999997,1,3.0,2.0
39,Male,185.4,104.3,High Activity,4.0,4.0,30.343442383534125,Obese,Fat Loss,2154.0007000000005,1.81,3898.7412670000012,0,3.0,3.0
38,Female,175.3,81.6,High Activity,3.0,5.0,26.553778397655194,Overweight,Fat Loss,1580.6875999999997,1.81,2861.044556,1,3.0,2.0
55,Male,154.9,104.3,High Activity,12.0,1.0,43.469182516803144,Obese,Fat Loss,1916.7992000000002,1.81,3469.4065520000004,0,3.0,3.0
45,Female,160.0,52.2,High Activity,20.0,0.0,20.390624999999996,Normal,Fat Loss,1231.1163999999999,1.81,2228.320684,1,3.0,1.0
57,Male,175.3,79.4,High Activity,10.0,0.0,25.83786770556155,Overweight,Fat Loss,1669.7595000000003,1.81,3022.2646950000008,0,3.0,2.0
39,Male,180.3,84.4,Low Activity,2.0,0.0,25.962768037125525,Overweight,Fat Loss,1862.9255000000005,1.29,2403.173895000001,0,1.0,2.0
40,Female,160.0,63.5,Moderate Activity,4.0,0.0,24.804687499999996,Normal,Fat Loss,1357.2575,1.55,2103.749125,1,2.0,1.0
20,Female,154.9,81.6,High Activity,20.0,10.0,34.00848795178462,Obese,Fat Loss,1595.4284,1.81,2887.7254040000003,1,3.0,3.0
45,Male,172.7,77.1,Low Activity,0.0,0.0,25.850544956981143,Overweight,Fat Loss,1694.593,1.29,2186.02497,0,1.0,2.0
45,Female,162.6,72.6,Low Activity,0.0,0.0,27.459684190937853,Overweight,Fat Loss,1427.81,1.29,1841.8749,1,1.0,2.0
18,Male,175.3,60.3,Low Activity,0.0,0.0,19.622461242384905,Normal,Fat Loss,1635.2798000000003,1.29,2109.5109420000003,0,1.0,1.0
47,Male,154.9,93.0,High Activity,20.0,10.0,38.75967376857807,Obese,Fat Loss,1810.8291000000004,1.81,3277.6006710000006,0,3.0,3.0
44,Female,162.6,61.7,High Activity,35.0,9.0,23.33694923665104,Normal,Fat Loss,1331.3477,1.81,2409.739337,1,3.0,1.0
19,Female,167.6,58.1,High Activity,20.0,9.0,20.683693986705478,Normal,Fat Loss,1421.7985,1.81,2573.4552850000005,1,3.0,1.0
57,Male,182.9,93.0,High Activity,10.0,2.0,27.8006876036734,Overweight,Fat Loss,1888.4311000000002,1.81,3418.0602910000007,0,3.0,2.0
57,Female,170.2,49.9,High Activity,12.0,3.0,17.22588066020345,Underweight,Fat Loss,1189.4879,1.81,2152.9730990000003,1,3.0,
48,Male,175.3,113.4,High Activity,20.0,30.0,36.901942037917884,Obese,Fat Loss,2176.3505000000005,1.81,3939.194405000001,0,3.0,3.0
49,Female,154.9,90.7,High Activity,10.0,0.0,37.80110119150571,Obese,Fat Loss,1554.0061,1.81,2812.751041,1,3.0,3.0
20,Female,172.7,81.6,High Activity,10.0,0.0,27.359331627622065,Overweight,Fat Loss,1650.5728,1.81,2987.536768,1,3.0,2.0
45,Male,175.3,86.2,High Activity,10.0,1.0,28.050682572032816,Overweight,Fat Loss,1828.9831000000006,1.81,3310.459411000001,0,3.0,2.0
50,Female,162.6,81.6,High Activity,10.0,1.0,30.863777272459075,Obese,Fat Loss,1489.3829999999998,1.81,2695.7832299999995,1,3.0,3.0
18,Female,165.1,79.4,High Activity,10.0,5.0,29.12905234094492,Overweight,Fat Loss,1615.3446,1.81,2923.773726,1,3.0,2.0
18,Female,154.9,49.9,High Activity,10.0,5.0,20.796857215613393,Normal,Fat Loss,1310.9585,1.81,2372.834885,1,3.0,1.0
56,Male,154.9,86.2,High Activity,20.0,1.0,35.92563310592935,Obese,Fat Loss,1668.6365000000003,1.81,3020.2320650000006,0,3.0,3.0
56,Female,167.6,54.4,High Activity,10.0,4.0,19.36648800132148,Normal,Fat Loss,1227.3745999999999,1.81,2221.548026,1,3.0,1.0
22,Female,172.7,56.7,High Activity,8.0,1.0,19.01071205007563,Normal,Fat Loss,1411.6625,1.81,2555.109125,1,3.0,1.0
54,Female,162.6,68.0,Moderate Activity,4.0,0.0,25.719814393715897,Overweight,Fat Loss,1346.3038000000001,1.55,2086.7708900000002,1,2.0,2.0
45,Female,167.6,65.8,High Activity,5.0,45.0,23.424906442774876,Normal,Fat Loss,1380.4204,1.81,2498.560924,1,3.0,1.0
51,Male,188.0,95.3,High Activity,5.0,40.0,26.963558171118155,Overweight,Fat Loss,1977.7811000000002,1.81,3579.7837910000003,0,3.0,2.0
43,Male,167.6,68.0,High Activity,12.0,0.0,24.20811000165185,Normal,Fat Loss,1559.5594,1.81,2822.8025140000004,0,3.0,1.0
55,Female,160.0,79.4,High Activity,5.0,1.0,31.015624999999996,Obese,Fat Loss,1439.3348,1.81,2605.1959880000004,1,3.0,3.0
49,Male,180.3,86.2,High Activity,7.0,0.0,26.516476360192183,Overweight,Fat Loss,1830.2701000000004,1.81,3312.788881000001,0,3.0,2.0
22,Male,167.6,65.8,Moderate Activity,3.0,0.0,23.424906442774876,Normal,Fat Loss,1649.303,1.55,2556.4196500000003,0,2.0,1.0
19,Male,154.9,68.0,High Activity,12.0,0.0,28.340406626487187,Overweight,Fat Loss,1634.8601,1.81,2959.096781,0,3.0,2.0
57,Female,172.7,113.4,High Activity,15.0,0.0,38.02142410015126,Obese,Fat Loss,1784.4174,1.81,3229.795494,1,3.0,3.0
55,Male,165.1,63.5,High Activity,50.0,0.0,23.295904579974838,Normal,Fat Loss,1419.1514000000002,1.81,2568.6640340000004,0,3.0,1.0
50,Female,160.0,54.4,High Activity,30.0,0.0,21.249999999999996,Normal,Fat Loss,1229.8098,1.81,2225.955738,1,3.0,1.0
22,Male,182.9,81.6,High Activity,50.0,0.0,24.392861381287627,Normal,Fat Loss,1934.4003,1.81,3501.2645430000002,0,3.0,1.0
50,Female,160.0,82.6,Low Activity,2.0,0.0,32.26562499999999,Obese,Fat Loss,1490.5751999999998,1.29,1922.8420079999999,1,1.0,3.0
58,Male,188.0,83.9,High Activity,6.0,4.0,23.738116794929837,Normal,Fat Loss,1785.3163000000004,1.81,3231.4225030000007,0,3.0,1.0
54,Female,157.5,63.5,Moderate Activity,3.0,0.0,25.59838750314941,Overweight,Fat Loss,1288.8925,1.55,1997.783375,1,2.0,2.0
55,Male,185.4,86.2,Moderate Activity,4.0,0.0,25.07770597757087,Overweight,Fat Loss,1820.6830000000002,1.55,2822.0586500000004,0,2.0,2.0
47,Female,157.5,52.6,High Activity,15.0,5.0,21.20433358528597,Normal,Fat Loss,1218.4102,1.81,2205.322462,1,3.0,1.0
47,Male,172.7,78.0,High Activity,10.0,2.0,26.15230229110933,Overweight,Fat Loss,1695.2963000000002,1.81,3068.4863030000006,0,3.0,2.0
18,Male,175.3,58.1,High Activity,5.0,5.0,18.90655055029126,Normal,Fat Loss,1605.8064000000002,1.81,2906.5095840000004,0,3.0,1.0
21,Female,160.0,52.2,High Activity,10.0,5.0,20.390624999999996,Normal,Fat Loss,1335.0363999999997,1.81,2416.4158839999996,1,3.0,1.0
49,Female,154.9,56.7,High Activity,5.0,1.0,23.63089787826211,Normal,Fat Loss,1239.6081,1.81,2243.690661,1,3.0,1.0
20,Male,190.5,74.8,High Activity,7.0,3.0,20.611596778749114,Normal,Fat Loss,1891.1271000000002,1.81,3422.9400510000005,0,3.0,1.0
59,Male,180.3,81.6,High Activity,9.0,9.0,25.10144397902183,Overweight,Fat Loss,1711.8739,1.81,3098.491759,0,3.0,2.0
43,Female,172.7,72.6,High Activity,8.0,3.0,24.34175828634022,Normal,Fat Loss,1467.7597999999998,1.81,2656.6452379999996,1,3.0,1.0
46,Male,172.7,81.6,High Activity,8.0,3.0,27.359331627622065,Overweight,Fat Loss,1749.2024999999999,1.81,3166.056525,0,3.0,2.0
37,Male,188.0,113.4,High Activity,0.0,50.0,32.084653689452246,Obese,Fat Loss,2299.7448000000004,1.81,4162.538088000001,0,3.0,3.0
34,Female,162.6,81.2,High Activity,13.0,0.0,30.712484246613688,Obese,Fat Loss,1554.9642,1.81,2814.485202,1,3.0,3.0
42,Male,165.1,108.9,High Activity,50.0,3.0,39.95155919305922,Obese,Fat Loss,2101.1762,1.81,3803.128922,0,3.0,3.0
41,Female,162.6,95.3,High Activity,40.0,0.0,36.0455634076636,Obese,Fat Loss,1655.0369,1.81,2995.616789,1,3.0,3.0
64,Male,180.3,99.8,High Activity,20.0,9.0,30.70005035669582,Obese,Fat Loss,1927.3143000000005,1.81,3488.4388830000007,0,3.0,3.0
62,Female,167.6,90.7,High Activity,16.0,9.0,32.289346722791514,Obese,Fat Loss,1537.0607,1.81,2782.079867,1,3.0,3.0
62,Male,172.7,74.8,High Activity,5.0,0.0,25.079387325320226,Overweight,Fat Loss,1567.2709,1.81,2836.760329,0,3.0,2.0
55,Male,172.7,70.3,Low Activity,0.0,0.0,23.570600654679303,Normal,Fat Loss,1546.7234,1.29,1995.2731860000001,0,1.0,1.0
52,Female,167.6,54.4,High Activity,40.0,2.0,19.36648800132148,Normal,Fat Loss,1244.6945999999998,1.81,2252.8972259999996,1,3.0,1.0
44,Male,180.3,79.4,High Activity,16.0,9.0,24.424689361940363,Normal,Fat Loss,1767.5555000000002,1.81,3199.2754550000004,0,3.0,1.0
41,Female,160.0,85.3,High Activity,6.0,9.0,33.32031249999999,Obese,Fat Loss,1554.5121000000001,1.81,2813.6669010000005,1,3.0,3.0
35,Female,170.2,86.2,High Activity,80.0,20.0,29.756932122435625,Overweight,Fat Loss,1620.414,1.81,2932.94934,1,3.0,2.0
33,Male,188.0,102.1,High Activity,78.0,18.0,28.88750565866908,Overweight,Fat Loss,2171.0667000000003,1.81,3929.6307270000007,0,3.0,2.0
46,Male,182.9,88.5,High Activity,12.0,9.0,26.455493042205333,Overweight,Fat Loss,1890.5916000000004,1.81,3421.970796000001,0,3.0,2.0
46,Female,154.9,61.2,High Activity,12.0,9.0,25.50636596383847,Overweight,Fat Loss,1294.2096000000001,1.81,2342.519376,1,3.0,2.0
54,Male,188.0,108.9,High Activity,18.0,2.0,30.811453146220014,Obese,Fat Loss,2142.9493,1.81,3878.7382330000005,0,3.0,3.0
52,Female,167.6,81.6,High Activity,14.0,1.0,29.049732001982218,Overweight,Fat Loss,1496.2129999999997,1.81,2708.14553,1,3.0,2.0
59,Male,154.9,71.7,Moderate Activity,4.0,0.0,29.882458163516638,Overweight,Fat Loss,1457.3490000000004,1.55,2258.890950000001,0,2.0,2.0
29,Female,165.1,61.2,High Activity,7.0,7.0,22.45211591014898,Normal,Fat Loss,1399.4192,1.81,2532.9487520000002,1,3.0,1.0
36,Female,154.9,76.7,Moderate Activity,3.0,1.0,31.966311591934815,Obese,Fat Loss,1480.8381,1.55,2295.299055,1,2.0,3.0
33,Male,190.5,90.7,High Activity,10.0,15.0,24.99293887476664,Normal,Fat Loss,2030.3384,1.81,3674.9125040000004,0,3.0,1.0
34,Female,160.0,74.8,High Activity,10.0,2.0,29.218749999999993,Overweight,Fat Loss,1487.7285999999997,1.81,2692.7887659999997,1,3.0,2.0
60,Male,180.3,113.4,Low Activity,2.0,0.0,34.88362435319946,Obese,Fat Loss,2132.2215000000006,1.29,2750.5657350000006,0,1.0,3.0
36,Female,160.0,95.3,Low Activity,2.0,0.0,37.22656249999999,Obese,Fat Loss,1668.6320999999998,1.29,2152.5354089999996,1,1.0,3.0
32,Male,193.0,133.8,Low Activity,2.0,0.0,35.920427394024,Obese,Fat Loss,2625.4236,1.29,3386.796444,0,1.0,3.0
49,Female,157.5,90.7,High Activity,9.0,9.0,36.563366087175616,Obese,Fat Loss,1562.0609,1.81,2827.330229,1,3.0,3.0
32,Female,162.6,97.5,High Activity,7.0,2.0,36.877675049813234,Obese,Fat Loss,1714.3503,1.81,3102.974043,1,3.0,3.0
45,Female,167.6,99.8,High Activity,10.0,0.0,35.5289614436008,Obese,Fat Loss,1694.8184,1.81,3067.6213040000002,1,3.0,3.0
47,Male,172.7,90.7,High Activity,10.0,0.0,30.41043356158482,Obese,Fat Loss,1865.4382,1.81,3376.443142,0,3.0,3.0
56,Male,180.3,104.3,Low Activity,0.0,0.0,32.084321164362464,Obese,Fat Loss,2033.0168,1.29,2622.591672,0,1.0,3.0
20,Male,180.3,74.8,Low Activity,0.0,0.0,23.00965698077001,Normal,Fat Loss,1842.1773,1.29,2376.4087170000003,0,1.0,1.0
54,Female,165.1,59.0,Low Activity,0.0,0.0,21.645013704228592,Normal,Fat Loss,1270.8257999999998,1.29,1639.3652819999998,1,1.0,1.0
24,Female,165.1,59.0,Low Activity,0.0,0.0,21.645013704228592,Normal,Fat Loss,1400.7257999999997,1.29,1806.9362819999997,1,1.0,1.0
54,Male,170.2,79.8,High Activity,8.0,0.0,27.54760073515502,Overweight,Fat Loss,1667.6744,1.81,3018.4906640000004,0,3.0,2.0
50,Female,172.7,53.5,High Activity,10.0,0.0,17.937797084286526,Underweight,Fat Loss,1260.8321,1.81,2282.1061010000003,1,3.0,
24,Female,167.6,59.0,High Activity,12.0,0.0,21.004095442609692,Normal,Fat Loss,1408.4707999999998,1.81,2549.332148,1,3.0,1.0
65,Male,175.3,90.7,High Activity,50.0,0.0,29.515045351315273,Overweight,Fat Loss,1775.7296000000001,1.81,3214.0705760000005,0,3.0,2.0
62,Female,162.6,90.7,High Activity,30.0,0.0,34.305693610441644,Obese,Fat Loss,1521.5707,1.81,2754.042967,1,3.0,3.0
44,Female,167.6,61.2,High Activity,5.0,0.0,21.787299001486666,Normal,Fat Loss,1342.2142000000001,1.81,2429.4077020000004,1,3.0,1.0
49,Male,175.3,74.4,High Activity,7.0,0.0,24.21079795080327,Normal,Fat Loss,1648.1905000000004,1.81,2983.2248050000007,0,3.0,1.0
57,Female,170.2,63.5,Moderate Activity,4.0,2.0,21.920709858174735,Normal,Fat Loss,1315.2471,1.55,2038.6330050000001,1,2.0,1.0
55,Female,152.4,44.5,High Activity,12.0,10.0,19.159760541743303,Normal,Fat Loss,1093.0696999999998,1.81,1978.4561569999996,1,3.0,1.0
49,Male,154.9,90.3,High Activity,8.0,6.0,37.63439291723225,Obese,Fat Loss,1763.3032,1.81,3191.5787920000002,0,3.0,3.0
50,Female,162.6,95.3,High Activity,6.0,8.0,36.0455634076636,Obese,Fat Loss,1616.0669,1.81,2925.0810890000002,1,3.0,3.0
22,Male,180.3,77.1,High Activity,20.0,6.0,23.717173171355185,Normal,Fat Loss,1861.6364,1.81,3369.561884,0,3.0,1.0
45,Female,180.3,95.3,High Activity,60.0,12.0,29.315779549029173,Overweight,Fat Loss,1692.5515,1.81,3063.518215,1,3.0,2.0
56,Male,188.0,90.7,High Activity,7.0,2.0,25.662064282480763,Overweight,Fat Loss,1887.7699,1.81,3416.863519,0,3.0,2.0
56,Female,154.9,61.2,High Activity,6.0,3.0,25.50636596383847,Overweight,Fat Loss,1250.9096000000002,1.81,2264.1463760000006,1,3.0,2.0
32,Male,188.0,79.4,Moderate Activity,4.0,1.0,22.464916251697606,Normal,Fat Loss,1872.6318000000003,1.55,2902.5792900000006,0,2.0,1.0
31,Female,167.6,86.2,Low Activity,2.0,0.0,30.68733944327043,Obese,Fat Loss,1629.6792,1.29,2102.286168,1,1.0,3.0
49,Female,157.5,49.9,High Activity,5.0,5.0,20.115898211136308,Normal,Fat Loss,1184.7832999999998,1.81,2144.4577729999996,1,3.0,1.0
20,Male,167.6,61.2,High Activity,0.0,30.0,21.787299001486666,Normal,Fat Loss,1599.0308,1.81,2894.2457480000003,0,3.0,1.0
53,Male,175.3,86.2,High Activity,10.0,0.0,28.050682572032816,Overweight,Fat Loss,1783.5671000000007,1.81,3228.256451000001,0,3.0,2.0
50,Female,160.0,49.9,High Activity,10.0,0.0,19.492187499999996,Normal,Fat Loss,1188.1983,1.81,2150.638923,1,3.0,1.0
51,Female,162.6,121.1,Low Activity,0.0,0.0,45.8039635746911,Obese,Fat Loss,1850.3095000000003,1.29,2386.8992550000003,1,1.0,3.0
22,Male,182.9,83.9,Low Activity,0.0,0.0,25.080405268260197,Overweight,Fat Loss,1965.2134000000003,1.29,2535.1252860000004,0,1.0,2.0
23,Male,190.5,86.2,High Activity,7.0,0.0,23.75293639476168,Normal,Fat Loss,2026.8219000000004,1.81,3668.547639000001,0,3.0,1.0
55,Male,182.9,138.3,Low Activity,2.0,0.0,41.34231285578529,Obese,Fat Loss,2506.6692000000003,1.29,3233.6032680000003,0,1.0,3.0
57,Female,167.6,63.5,Moderate Activity,3.0,1.0,22.60610272213077,Normal,Fat Loss,1307.1923,1.55,2026.1480649999999,1,2.0,1.0
44,Male,175.3,72.6,High Activity,10.0,4.0,23.62505283909028,Normal,Fat Loss,1652.4609,1.81,2990.954229,0,3.0,1.0
45,Female,154.9,55.8,High Activity,10.0,2.0,23.25580426114684,Normal,Fat Loss,1248.6058,1.81,2259.976498,1,3.0,1.0
20,Female,167.6,52.2,High Activity,20.0,0.0,18.58328444244451,Normal,Fat Loss,1362.9112,1.81,2466.869272,1,3.0,1.0
41,Female,167.6,65.8,High Activity,5.0,5.0,23.424906442774876,Normal,Fat Loss,1397.7404,1.81,2529.910124,1,3.0,1.0
21,Female,165.1,56.7,High Activity,1.0,8.0,20.80122503440273,Normal,Fat Loss,1392.4477,1.81,2520.330337,1,3.0,1.0
49,Male,182.9,93.0,High Activity,5.0,0.0,27.8006876036734,Overweight,Fat Loss,1933.8471000000002,1.81,3500.2632510000003,0,3.0,2.0
45,Female,167.6,81.6,High Activity,5.0,0.0,29.049732001982218,Overweight,Fat Loss,1526.523,1.81,2763.00663,1,3.0,2.0
48,Female,172.7,56.7,High Activity,20.0,5.0,19.01071205007563,Normal,Fat Loss,1299.0825,1.81,2351.339325,1,3.0,1.0
48,Male,172.7,95.3,High Activity,20.0,5.0,31.952748824906653,Obese,Fat Loss,1921.3873999999996,1.81,3477.7111939999995,0,3.0,3.0
57,Female,162.6,74.8,High Activity,8.0,2.0,28.291795833087484,Overweight,Fat Loss,1396.1933999999999,1.81,2527.1100539999998,1,3.0,2.0
62,Male,188.0,106.6,High Activity,12.0,6.0,30.160706201901313,Obese,Fat Loss,2066.7201999999997,1.81,3740.7635619999996,0,3.0,3.0
61,Male,172.7,83.9,High Activity,5.0,7.0,28.130489259282985,Overweight,Fat Loss,1694.8606000000002,1.81,3067.6976860000004,0,3.0,2.0
61,Female,157.5,65.8,High Activity,5.0,7.0,26.52557319223986,Overweight,Fat Loss,1279.8505999999998,1.81,2316.5295859999997,1,3.0,2.0
20,Female,162.6,59.0,High Activity,8.0,4.0,22.315721312194675,Normal,Fat Loss,1410.3008,1.81,2552.644448,1,3.0,1.0
30,Male,170.2,72.6,High Activity,20.0,40.0,25.06210292446434,Overweight,Fat Loss,1707.464,1.81,3090.50984,0,3.0,2.0
34,Female,167.6,136.1,High Activity,40.0,40.0,48.45182016507083,Obese,Fat Loss,2078.1145,1.81,3761.3872450000003,1,3.0,3.0
50,Female,167.6,90.7,High Activity,6.0,0.0,32.289346722791514,Obese,Fat Loss,1589.0207,1.81,2876.1274670000003,1,3.0,3.0
53,Male,185.4,97.5,High Activity,15.0,5.0,28.365154673006494,Overweight,Fat Loss,1983.4231000000004,1.81,3589.9958110000007,0,3.0,2.0
51,Female,175.3,61.2,High Activity,15.0,2.0,19.915333798241395,Normal,Fat Loss,1335.7588,1.81,2417.7234280000002,1,3.0,1.0
47,Male,165.1,80.7,Moderate Activity,4.0,1.0,29.605976371716057,Overweight,Fat Loss,1694.9958000000001,1.55,2627.2434900000003,0,2.0,2.0
50,Male,182.9,67.1,High Activity,10.0,1.0,20.058345572112742,Normal,Fat Loss,1581.1878000000002,1.81,2861.9499180000003,0,3.0,1.0
49,Female,172.7,56.7,High Activity,10.0,2.0,19.01071205007563,Normal,Fat Loss,1294.7524999999998,1.81,2343.502025,1,3.0,1.0
18,Female,170.2,49.9,Low Activity,2.0,0.0,17.22588066020345,Underweight,Fat Loss,1358.3579,1.29,1752.281691,1,1.0,
52,Female,162.6,59.0,High Activity,20.0,7.0,22.315721312194675,Normal,Fat Loss,1271.7407999999998,1.81,2301.8508479999996,1,3.0,1.0
23,Male,182.9,77.1,High Activity,30.0,40.0,23.047666819819558,Normal,Fat Loss,1868.4368000000002,1.81,3381.8706080000006,0,3.0,1.0
54,Male,185.4,90.7,High Activity,20.0,30.0,26.386866962478862,Overweight,Fat Loss,1886.6465000000003,1.81,3414.8301650000008,0,3.0,2.0
43,Male,172.7,87.1,Moderate Activity,3.0,0.0,29.20340422507208,Overweight,Fat Loss,1839.9170000000004,1.55,2851.871350000001,0,2.0,2.0
42,Female,154.9,65.8,Moderate Activity,3.0,0.0,27.42351111798319,Overweight,Fat Loss,1354.0657999999999,1.55,2098.80199,1,2.0,2.0
52,Female,167.6,72.6,Moderate Activity,3.0,0.0,25.84571744294006,Overweight,Fat Loss,1412.9899999999998,1.55,2190.1344999999997,1,2.0,2.0
52,Male,154.9,81.6,High Activity,30.0,0.0,34.00848795178462,Obese,Fat Loss,1629.7183000000002,1.81,2949.7901230000007,0,3.0,3.0
25,Female,160.0,60.3,Low Activity,2.0,0.0,23.554687499999993,Normal,Fat Loss,1392.6171,1.29,1796.476059,1,1.0,1.0
46,Female,165.1,65.8,Low Activity,0.0,0.0,24.139693249800697,Normal,Fat Loss,1368.3454,1.29,1765.165566,1,1.0,1.0
50,Male,185.4,93.0,High Activity,5.0,3.0,27.0559936880985,Overweight,Fat Loss,1940.1676000000002,1.81,3511.7033560000004,0,3.0,2.0
46,Male,188.0,106.6,High Activity,10.0,2.0,30.160706201901313,Obese,Fat Loss,2157.5522,1.81,3905.1694820000002,0,3.0,3.0
48,Female,170.2,81.6,High Activity,10.0,0.0,28.168975187827687,Overweight,Fat Loss,1521.5878,1.81,2754.073918,1,3.0,2.0
19,Female,170.2,63.5,High Activity,10.0,0.0,21.920709858174735,Normal,Fat Loss,1479.7871,1.81,2678.414651,1,3.0,1.0
65,Male,175.3,99.8,High Activity,100.0,0.0,32.476312304975345,Obese,Fat Loss,1897.6423000000004,1.81,3434.732563000001,0,3.0,3.0
62,Female,157.5,81.6,High Activity,100.0,100.0,32.89493575207861,Obese,Fat Loss,1421.6231999999998,1.81,2573.1379919999995,1,3.0,3.0
46,Male,185.4,117.9,High Activity,40.0,10.0,34.300017804589395,Obese,Fat Loss,2296.4609000000005,1.81,4156.594229000001,0,3.0,3.0
44,Female,154.9,136.1,High Activity,21.0,0.0,56.722490321542736,Obese,Fat Loss,1995.4699,1.81,3611.8005190000003,1,3.0,3.0
24,Male,185.4,99.8,High Activity,0.0,3.0,29.03428139862613,Overweight,Fat Loss,2178.8692,1.81,3943.7532520000004,0,3.0,2.0
22,Female,167.6,86.2,High Activity,4.0,5.0,30.68733944327043,Obese,Fat Loss,1668.6492,1.81,3020.2550520000004,1,3.0,3.0
20,Female,154.9,81.6,High Activity,4.0,5.0,34.00848795178462,Obese,Fat Loss,1595.4284,1.81,2887.7254040000003,1,3.0,3.0
