age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
62,Female,157.5,56.7,22.86,Normal,1191.3,2156.3,High Activity,1.81,20.0,0.0,True,Maintenance,9,7,real,train
22,Male,190.5,104.3,28.75,Overweight,2275.3,4118.4,High Activity,1.81,8.0,0.0,True,Fat Loss,3,2,real,train
53,Male,180.3,81.6,25.1,Overweight,1746.8,2707.5,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,2,real,train
31,Male,175.3,77.1,25.1,Overweight,1786.5,3233.6,High Activity,1.81,20.0,4.0,True,Fat Loss,3,2,real,train
65,Male,193.0,83.9,22.52,Normal,1770.0,3203.6,High Activity,1.81,7.0,0.0,True,Maintenance,9,7,real,train
36,Female,175.3,61.2,19.94,Normal,1400.9,2535.6,High Activity,1.81,5.0,5.0,True,Muscle Gain,6,5,real,train
26,Female,175.3,65.8,21.41,Normal,1486.2,2689.9,High Activity,1.81,20.0,0.0,True,Maintenance,9,7,real,train
51,Female,154.9,81.6,34.01,Obese,1461.8,2645.8,High Activity,1.81,5.0,0.0,True,Fat Loss,3,3,real,train
30,Female,165.1,61.2,22.46,Normal,1395.4,2162.9,Moderate Activity,1.55,4.0,2.0,True,Fat Loss,2,1,real,train
19,Male,175.3,59.0,19.2,Normal,1611.6,2916.9,High Activity,1.81,5.0,2.0,True,Muscle Gain,6,5,real,train
46,Male,170.2,68.0,23.49,Normal,1555.4,2815.3,High Activity,1.81,2.0,3.0,True,Maintenance,9,7,real,train
61,Female,172.7,77.1,25.85,Overweight,1431.6,2591.2,High Activity,1.81,9.0,1.0,True,Fat Loss,3,2,real,train
51,Male,182.9,99.8,29.84,Overweight,2013.4,3644.2,High Activity,1.81,16.0,7.0,True,Fat Loss,3,2,real,train
63,Male,185.4,113.4,32.98,Obese,2139.7,3316.6,Moderate Activity,1.55,3.0,1.0,True,Fat Loss,2,3,real,train
49,Male,175.3,86.2,28.06,Overweight,1805.8,3268.6,High Activity,1.81,8.0,10.0,True,Fat Loss,3,2,real,train
57,Male,170.2,131.5,45.42,Obese,2343.7,4242.2,High Activity,1.81,10.0,0.0,True,Fat Loss,3,3,real,train
29,Male,190.5,104.3,28.75,Overweight,2235.6,4046.4,High Activity,1.81,2.0,5.0,True,Fat Loss,3,2,real,train
18,Male,193.0,99.8,26.78,Overweight,2249.5,4071.5,High Activity,1.81,10.0,1.0,True,Fat Loss,3,2,real,train
56,Male,182.9,88.5,26.45,Overweight,1833.1,3317.8,High Activity,1.81,6.0,3.0,True,Fat Loss,3,2,real,train
54,Female,160.0,65.8,25.69,Overweight,1317.7,2385.0,High Activity,1.81,6.0,0.0,True,Maintenance,9,8,real,train
39,Female,162.6,63.5,24.03,Normal,1369.5,2478.9,High Activity,1.81,20.0,0.0,True,Fat Loss,3,1,real,train
43,Female,162.6,56.7,21.46,Normal,1289.3,2333.7,High Activity,1.81,5.0,2.0,True,Maintenance,9,7,real,train
40,Female,170.2,65.8,22.71,Normal,1409.8,2551.7,High Activity,1.81,25.0,1.0,True,Fat Loss,3,1,real,train
33,Female,162.6,54.4,20.6,Normal,1311.6,1692.0,Low Activity,1.29,0.0,0.0,False,Muscle Gain,4,5,real,train
44,Female,142.2,49.9,24.66,Normal,1159.1,1495.3,Low Activity,1.29,1.0,0.0,True,Maintenance,7,7,real,train
59,Male,175.3,83.9,27.32,Overweight,1718.7,3110.8,High Activity,1.81,40.0,4.0,True,Maintenance,9,8,real,train
59,Male,182.9,108.9,32.55,Obese,2089.5,3782.0,High Activity,1.81,10.0,0.0,True,Fat Loss,3,3,real,train
23,Male,182.9,99.8,29.84,Overweight,2172.3,3931.9,High Activity,1.81,7.0,7.0,True,Fat Loss,3,2,real,train
49,Male,154.9,90.7,37.79,Obese,1769.1,3202.1,High Activity,1.81,0.0,6.0,True,Fat Loss,6,3,real,train
41,Female,170.2,63.5,21.93,Normal,1384.5,2505.9,High Activity,1.81,15.0,0.0,True,Muscle Gain,6,5,real,train
65,Female,165.1,63.5,23.3,Normal,1264.8,2289.3,High Activity,1.81,40.0,0.0,True,Maintenance,9,7,real,train
58,Male,160.0,74.8,29.23,Overweight,1529.7,2768.8,High Activity,1.81,6.0,7.0,True,Fat Loss,3,2,real,train
40,Male,175.3,65.3,21.26,Normal,1577.4,2855.1,High Activity,1.81,11.0,5.0,True,Maintenance,9,7,real,train
27,Female,165.1,79.4,29.12,Overweight,1576.2,2852.9,High Activity,1.81,24.0,0.0,True,Fat Loss,3,2,real,train
43,Male,190.5,83.9,23.12,Normal,1882.7,3407.6,High Activity,1.81,16.0,8.0,True,Muscle Gain,6,5,real,train
18,Male,154.9,81.6,34.01,Obese,1823.6,3300.6,High Activity,1.81,3.0,9.0,True,Fat Loss,3,3,real,train
20,Male,182.9,72.6,21.7,Normal,1824.7,3302.8,High Activity,1.81,5.0,5.0,True,Muscle Gain,6,5,real,train
49,Female,170.2,86.2,29.76,Overweight,1559.6,2417.3,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,2,real,train
21,Female,162.6,59.0,22.31,Normal,1405.5,2544.0,High Activity,1.81,21.0,7.0,True,Muscle Gain,6,5,real,train
54,Female,175.3,79.4,25.84,Overweight,1490.7,2698.2,High Activity,1.81,25.0,10.0,True,Fat Loss,3,2,real,train
52,Female,162.6,68.0,25.75,Overweight,1355.2,2452.9,High Activity,1.81,20.0,8.0,True,Fat Loss,3,2,real,train
61,Female,165.1,88.5,32.45,Obese,1512.8,2738.2,High Activity,1.81,30.0,0.0,True,Fat Loss,3,3,real,train
50,Male,182.9,88.5,26.45,Overweight,1867.1,2894.0,Moderate Activity,1.55,3.0,1.0,True,Maintenance,8,8,real,train
65,Female,124.5,47.6,30.75,Obese,992.1,1795.8,High Activity,1.81,14.0,0.0,True,Fat Loss,3,3,real,train
45,Female,165.1,77.1,28.29,Overweight,1477.3,2673.8,High Activity,1.81,8.0,0.0,True,Fat Loss,3,2,real,train
56,Female,167.6,72.6,25.82,Overweight,1395.6,2526.0,High Activity,1.81,40.0,0.0,True,Fat Loss,3,2,real,train
58,Female,170.2,64.9,22.4,Normal,1323.5,2395.5,High Activity,1.81,2.0,4.0,True,Fat Loss,3,1,real,train
62,Male,175.3,83.9,27.32,Overweight,1701.7,3080.0,High Activity,1.81,20.0,0.0,True,Maintenance,9,8,real,train
64,Female,160.0,53.5,20.9,Normal,1161.2,1497.9,Low Activity,1.29,2.0,0.0,True,Maintenance,7,7,real,train
54,Female,165.1,63.5,23.3,Normal,1312.5,2375.6,High Activity,1.81,10.0,0.0,True,Maintenance,9,7,real,train
23,Male,182.9,77.1,23.06,Normal,1868.5,3382.0,High Activity,1.81,30.0,40.0,True,Maintenance,9,7,real,train
46,Female,162.6,77.1,29.18,Overweight,1465.1,2651.8,High Activity,1.81,8.0,1.0,True,Fat Loss,3,2,real,train
45,Female,162.6,56.7,21.46,Normal,1280.6,2318.0,High Activity,1.81,15.0,5.0,True,Maintenance,9,7,real,train
65,Female,157.5,39.9,16.1,Underweight,1023.1,1851.8,High Activity,1.81,50.0,5.0,True,Muscle Gain,6,4,real,train
54,Female,152.4,57.2,24.61,Normal,1214.4,2198.1,High Activity,1.81,8.0,8.0,True,Muscle Gain,6,5,real,train
56,Female,160.0,63.5,24.8,Normal,1288.1,2331.4,High Activity,1.81,20.0,16.0,True,Maintenance,9,7,real,train
62,Male,182.9,83.9,25.09,Overweight,1738.2,3146.2,High Activity,1.81,15.0,0.0,True,Fat Loss,3,2,real,train
26,Female,165.1,63.5,23.3,Normal,1433.7,2595.0,High Activity,1.81,10.0,15.0,True,Muscle Gain,6,5,real,train
19,Female,167.6,72.6,25.82,Overweight,1555.8,2815.9,High Activity,1.81,14.0,2.0,True,Fat Loss,3,2,real,train
45,Female,165.1,90.7,33.28,Obese,1603.1,2901.6,High Activity,1.81,10.0,2.0,True,Fat Loss,3,3,real,train
46,Female,160.0,67.1,26.22,Overweight,1364.9,2115.6,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,2,real,train
52,Male,180.3,81.6,25.1,Overweight,1752.4,3171.9,High Activity,1.81,14.0,0.0,True,Maintenance,9,8,real,train
51,Female,157.5,86.2,34.75,Obese,1511.6,1949.9,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,3,real,train
21,Male,188.0,83.9,23.75,Normal,1995.4,3611.6,High Activity,1.81,6.0,3.0,True,Maintenance,9,7,real,train
25,Male,188.0,88.5,25.04,Overweight,2033.4,3680.5,High Activity,1.81,6.0,6.0,True,Fat Loss,3,2,real,train
37,Female,154.9,90.7,37.79,Obese,1606.3,2907.3,High Activity,1.81,10.0,0.0,True,Fat Loss,3,3,real,train
42,Male,190.5,99.8,27.5,Overweight,2101.0,3802.9,High Activity,1.81,12.0,3.0,True,Fat Loss,3,2,real,train
21,Female,167.6,47.6,16.95,Underweight,1316.4,2382.7,High Activity,1.81,6.0,8.0,True,Muscle Gain,6,4,real,train
30,Male,175.3,90.7,29.53,Overweight,1974.5,3573.8,High Activity,1.81,30.0,5.0,True,Maintenance,9,8,real,train
56,Female,182.9,81.6,24.41,Normal,1526.7,2763.3,High Activity,1.81,5.0,3.0,True,Fat Loss,3,1,real,train
63,Female,167.6,68.0,24.21,Normal,1323.3,2395.2,High Activity,1.81,0.0,4.0,True,Fat Loss,3,1,real,train
57,Female,152.4,63.5,27.34,Overweight,1260.1,2280.8,High Activity,1.81,20.0,2.0,True,Maintenance,9,8,real,train
30,Male,188.0,90.7,25.68,Overweight,2035.4,3684.1,High Activity,1.81,4.0,4.0,True,Fat Loss,3,2,real,train
47,Male,152.4,93.0,40.04,Obese,1798.6,3255.6,High Activity,1.81,5.0,1.0,True,Fat Loss,3,3,real,train
33,Male,172.7,71.7,24.02,Normal,1690.0,2619.6,Moderate Activity,1.55,4.0,2.0,True,Muscle Gain,5,5,real,train
46,Male,154.9,84.4,35.14,Obese,1701.1,3078.9,High Activity,1.81,15.0,20.0,True,Fat Loss,3,3,real,train
60,Male,172.7,74.8,25.09,Overweight,1579.3,2858.5,High Activity,1.81,0.0,6.0,True,Maintenance,9,8,real,train
58,Female,167.6,61.2,21.79,Normal,1282.0,2320.5,High Activity,1.81,28.0,8.0,True,Maintenance,9,7,real,train
50,Male,154.9,81.6,34.01,Obese,1641.9,2544.9,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,3,real,train
48,Male,154.9,81.6,34.01,Obese,1653.2,2992.4,High Activity,1.81,7.0,30.0,True,Fat Loss,3,3,real,train
45,Male,172.7,74.8,25.09,Overweight,1664.4,3012.7,High Activity,1.81,7.0,7.0,True,Maintenance,9,8,real,train
62,Male,188.0,93.0,26.32,Overweight,1884.1,3410.3,High Activity,1.81,36.0,0.0,True,Fat Loss,3,2,real,train
45,Female,167.6,65.8,23.4,Normal,1380.3,2498.3,High Activity,1.81,5.0,45.0,True,Maintenance,9,7,real,train
48,Male,172.7,95.3,31.93,Obese,1920.9,3476.8,High Activity,1.81,20.0,5.0,True,Fat Loss,3,3,real,train
54,Male,167.6,70.3,25.02,Overweight,1528.2,2766.1,High Activity,1.81,6.0,3.0,True,Maintenance,9,8,real,train
45,Female,152.4,70.3,30.27,Obese,1375.0,2488.8,High Activity,1.81,6.0,6.0,True,Fat Loss,3,3,real,train
54,Male,190.5,95.3,26.25,Overweight,1972.1,3569.6,High Activity,1.81,55.0,6.0,True,Maintenance,9,8,real,train
40,Male,175.3,81.6,26.58,Overweight,1796.2,3251.1,High Activity,1.81,5.0,0.0,True,Maintenance,9,8,real,train
31,Male,172.7,102.1,34.21,Obese,2108.5,3816.4,High Activity,1.81,13.0,45.0,True,Fat Loss,3,3,real,train
24,Male,185.4,113.4,32.98,Obese,2361.1,3045.9,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,3,real,train
56,Female,170.2,79.4,27.41,Overweight,1466.3,2654.1,High Activity,1.81,72.0,7.0,True,Fat Loss,3,2,real,train
64,Male,193.0,111.1,29.82,Overweight,2140.2,3873.8,High Activity,1.81,10.0,2.0,True,Fat Loss,3,2,real,train
57,Female,167.6,63.5,22.6,Normal,1307.3,2026.4,Moderate Activity,1.55,3.0,1.0,True,Maintenance,8,7,real,train
57,Male,154.9,83.9,34.96,Obese,1632.5,2954.9,High Activity,1.81,5.0,0.0,True,Fat Loss,3,3,real,train
31,Female,167.6,70.3,25.02,Overweight,1482.8,2298.4,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,2,real,train
62,Female,167.6,90.7,32.28,Obese,1537.4,2782.6,High Activity,1.81,16.0,9.0,True,Fat Loss,3,3,real,train
51,Male,154.9,83.9,34.96,Obese,1666.6,3016.5,High Activity,1.81,7.0,3.0,True,Fat Loss,3,3,real,train
50,Male,167.6,81.6,29.05,Overweight,1702.8,3082.1,High Activity,1.81,40.0,2.0,True,Maintenance,9,8,real,train
64,Male,154.9,72.6,30.23,Obese,1440.9,2608.0,High Activity,1.81,35.0,5.0,True,Fat Loss,3,3,real,train
25,Female,160.0,49.9,19.49,Normal,1296.5,2346.6,High Activity,1.81,15.0,1.0,True,Fat Loss,3,1,real,train
18,Male,180.3,81.6,25.1,Overweight,1945.4,3015.4,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,2,real,train
48,Female,162.6,65.8,24.89,Normal,1351.5,2446.3,High Activity,1.81,6.0,2.0,True,Maintenance,9,7,real,train
47,Male,154.9,93.0,38.73,Obese,1810.8,3277.6,High Activity,1.81,20.0,10.0,True,Fat Loss,3,3,real,train
65,Female,165.1,61.2,22.46,Normal,1243.9,2251.4,High Activity,1.81,35.0,0.0,True,Maintenance,6,5,real,train
32,Male,175.3,77.6,25.25,Overweight,1786.9,3234.3,High Activity,1.81,0.0,4.0,True,Fat Loss,3,2,real,train
49,Male,165.1,82.6,30.29,Obese,1708.5,2203.9,Low Activity,1.29,0.0,0.0,False,Fat Loss,1,3,real,train
54,Male,190.5,120.2,33.12,Obese,2306.4,4174.5,High Activity,1.81,3.0,3.0,True,Fat Loss,3,3,real,train
22,Female,165.1,52.2,19.14,Normal,1346.2,2436.6,High Activity,1.81,10.0,10.0,True,Muscle Gain,6,5,real,train
37,Male,154.9,86.2,35.9,Obese,1776.5,3215.4,High Activity,1.81,32.0,0.0,True,Fat Loss,3,3,real,train
54,Male,175.3,70.3,22.89,Normal,1564.8,2425.4,Moderate Activity,1.55,4.0,2.0,True,Maintenance,8,7,real,train
38,Female,175.3,81.6,26.58,Overweight,1581.0,2861.6,High Activity,1.81,3.0,5.0,True,Fat Loss,3,2,real,train
39,Female,170.2,79.8,27.57,Overweight,1544.1,2794.9,High Activity,1.81,1.0,3.0,True,Maintenance,9,8,real,train
53,Female,154.9,53.5,22.3,Normal,1193.0,1849.2,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,7,real,train
51,Male,175.3,78.9,25.7,Overweight,1697.3,2630.8,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,2,real,train
52,Male,188.0,72.6,20.54,Normal,1667.5,2584.6,Moderate Activity,1.55,2.0,2.0,True,Maintenance,8,7,real,train
30,Female,165.1,54.4,19.97,Normal,1332.5,2411.8,High Activity,1.81,15.0,0.0,True,Maintenance,9,7,real,train
45,Male,154.9,68.0,28.34,Overweight,1488.0,2693.2,High Activity,1.81,40.0,40.0,True,Fat Loss,3,2,real,train
65,Female,165.1,62.6,22.96,Normal,1256.4,2274.2,High Activity,1.81,64.0,4.0,True,Maintenance,9,7,real,train
65,Female,170.2,65.8,22.71,Normal,1301.5,2355.8,High Activity,1.81,10.0,0.0,True,Maintenance,9,7,real,train
33,Male,182.9,124.7,37.3,Obese,2449.8,3160.2,Low Activity,1.29,0.0,0.0,False,Fat Loss,1,3,real,train
24,Female,160.0,68.0,26.57,Overweight,1468.6,2658.1,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
25,Male,193.0,124.7,33.47,Obese,2543.9,4604.5,High Activity,1.81,20.0,10.0,True,Fat Loss,3,3,real,train
38,Female,175.3,77.1,25.1,Overweight,1539.1,2785.7,High Activity,1.81,10.0,0.0,True,Fat Loss,3,2,real,train
19,Female,160.0,61.2,23.91,Normal,1427.3,2583.4,High Activity,1.81,5.0,0.0,True,Muscle Gain,6,5,real,train
46,Male,154.9,77.1,32.12,Obese,1603.8,2485.9,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,3,real,train
32,Female,162.6,59.0,22.31,Normal,1357.9,2457.8,High Activity,1.81,70.0,7.0,True,Muscle Gain,6,5,real,train
51,Male,180.3,96.2,29.57,Overweight,1952.6,3534.1,High Activity,1.81,8.0,10.0,True,Fat Loss,3,2,real,train
35,Male,154.9,79.4,33.07,Obese,1696.7,3071.0,High Activity,1.81,5.0,25.0,True,Fat Loss,3,3,real,train
53,Female,165.1,73.9,27.12,Overweight,1413.3,2558.0,High Activity,1.81,20.0,2.0,True,Fat Loss,3,2,real,train
46,Female,157.5,49.9,20.12,Normal,1197.7,2167.8,High Activity,1.81,5.0,0.0,True,Fat Loss,3,1,real,train
45,Male,180.3,68.0,20.92,Normal,1609.9,2913.9,High Activity,1.81,3.0,3.0,True,Maintenance,9,7,real,train
26,Male,182.9,104.3,31.19,Obese,2216.1,4011.1,High Activity,1.81,13.0,1.0,True,Fat Loss,3,3,real,train
26,Male,167.6,59.0,20.98,Normal,1535.2,2778.8,High Activity,1.81,10.0,1.0,True,Fat Loss,3,1,real,train
47,Female,154.9,59.0,24.56,Normal,1269.4,2297.5,High Activity,1.81,12.0,10.0,True,Maintenance,9,7,real,train
48,Female,162.6,52.2,19.74,Normal,1225.7,2218.5,High Activity,1.81,8.0,0.0,True,Maintenance,9,7,real,train
22,Female,162.6,63.5,24.03,Normal,1443.2,2612.1,High Activity,1.81,25.0,0.0,True,Fat Loss,3,1,real,train
19,Male,188.0,81.6,23.11,Normal,1976.3,3577.2,High Activity,1.81,20.0,20.0,True,Muscle Gain,6,5,real,train
45,Female,170.2,68.0,23.49,Normal,1409.1,2184.1,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,1,real,train
21,Male,188.0,65.8,18.62,Normal,1752.3,3171.7,High Activity,1.81,7.0,5.0,True,Muscle Gain,6,5,real,train
56,Male,154.9,99.8,41.57,Obese,1850.9,2868.9,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,3,real,train
33,Female,160.0,74.8,29.23,Overweight,1492.5,2701.5,High Activity,1.81,8.0,0.0,True,Fat Loss,3,2,real,train
55,Female,160.0,74.8,29.23,Overweight,1397.3,2529.0,High Activity,1.81,5.0,0.0,True,Fat Loss,3,2,real,train
48,Male,182.9,99.8,29.84,Overweight,2030.4,3675.0,High Activity,1.81,6.0,2.0,True,Fat Loss,3,2,real,train
48,Female,172.7,54.4,18.25,Underweight,1278.2,2313.5,High Activity,1.81,30.0,30.0,True,Muscle Gain,6,4,real,train
60,Male,182.9,120.2,35.94,Obese,2235.7,4046.7,High Activity,1.81,5.0,0.0,True,Fat Loss,3,3,real,train
63,Male,182.9,75.3,22.51,Normal,1617.1,2506.5,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,1,real,train
56,Female,170.2,68.0,23.49,Normal,1361.5,2464.3,High Activity,1.81,7.0,0.0,True,Maintenance,9,7,real,train
37,Female,167.6,81.6,29.05,Overweight,1561.7,2826.7,High Activity,1.81,12.0,0.0,True,Fat Loss,3,2,real,train
36,Male,170.2,61.2,21.14,Normal,1521.0,2753.1,High Activity,1.81,8.0,3.0,True,Maintenance,9,7,real,train
41,Male,182.9,81.6,24.41,Normal,1827.1,3307.0,High Activity,1.81,4.0,3.0,True,Maintenance,9,7,real,train
53,Male,185.4,77.1,22.43,Normal,1710.4,3095.8,High Activity,1.81,10.0,30.0,True,Maintenance,9,7,real,train
40,Female,167.6,68.0,24.21,Normal,1422.9,2575.4,High Activity,1.81,5.0,0.0,True,Maintenance,9,7,real,train
47,Female,160.0,65.8,25.69,Overweight,1348.0,2439.9,High Activity,1.81,10.0,5.0,True,Fat Loss,3,2,real,train
54,Male,198.1,140.6,35.82,Obese,2616.4,3375.1,Low Activity,1.29,0.0,0.0,True,Fat Loss,1,3,real,train
43,Male,154.9,81.6,34.01,Obese,1681.6,3043.7,High Activity,1.81,20.0,2.0,True,Fat Loss,3,3,real,train
29,Female,154.9,54.4,22.67,Normal,1305.4,2362.7,High Activity,1.81,0.0,30.0,True,Maintenance,9,7,real,train
20,Male,190.5,70.3,19.37,Normal,1830.9,3314.0,High Activity,1.81,10.0,4.0,True,Fat Loss,3,1,real,train
34,Male,154.9,81.6,34.01,Obese,1732.7,3136.2,High Activity,1.81,10.0,2.0,True,Fat Loss,3,3,real,train
21,Female,154.9,63.5,26.45,Overweight,1423.9,2577.2,High Activity,1.81,8.0,3.0,True,Fat Loss,3,2,real,train
21,Female,160.0,72.6,28.34,Overweight,1523.5,2757.5,High Activity,1.81,10.0,0.0,True,Fat Loss,3,2,real,train
63,Female,162.6,68.0,25.75,Overweight,1307.6,2366.7,High Activity,1.81,30.0,0.0,True,Maintenance,9,8,real,train
55,Male,165.1,63.5,23.3,Normal,1419.2,2568.7,High Activity,1.81,50.0,0.0,True,Maintenance,9,7,real,train
34,Female,167.6,59.0,20.98,Normal,1365.0,2470.6,High Activity,1.81,5.0,5.0,True,Muscle Gain,6,5,real,train
49,Male,182.9,89.8,26.85,Overweight,1891.0,3422.8,High Activity,1.81,5.0,5.0,True,Fat Loss,3,2,real,train
49,Female,167.6,79.4,28.25,Overweight,1488.8,2307.6,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,2,real,train
45,Female,157.5,61.2,24.69,Normal,1306.9,2365.4,High Activity,1.81,35.0,15.0,True,Maintenance,9,7,real,train
23,Male,180.3,73.5,22.59,Normal,1807.7,3271.9,High Activity,1.81,5.0,3.0,True,Maintenance,9,7,real,train
18,Female,152.4,49.9,21.48,Normal,1303.2,2019.9,Moderate Activity,1.55,1.0,2.0,True,Fat Loss,2,1,real,train
19,Male,188.0,77.1,21.83,Normal,1915.6,3467.2,High Activity,1.81,7.0,2.0,True,Muscle Gain,6,5,real,train
31,Male,154.9,65.8,27.4,Overweight,1537.1,2782.1,High Activity,1.81,8.0,2.0,True,Fat Loss,3,2,real,train
54,Male,188.0,102.1,28.89,Overweight,2051.1,3712.5,High Activity,1.81,2.0,5.0,True,Fat Loss,3,2,real,train
51,Female,160.0,59.0,23.03,Normal,1267.8,2294.7,High Activity,1.81,6.0,4.0,True,Muscle Gain,6,5,real,train
54,Female,157.5,54.4,21.95,Normal,1205.0,1867.7,Moderate Activity,1.55,0.0,2.0,True,Maintenance,8,7,real,train
25,Male,182.9,90.7,27.12,Overweight,2039.4,3691.4,High Activity,1.81,50.0,8.0,True,Fat Loss,3,2,real,train
29,Male,180.3,89.4,27.48,Overweight,1986.3,3595.2,High Activity,1.81,20.0,11.0,True,Fat Loss,3,2,real,train
52,Female,172.7,81.6,27.37,Overweight,1512.5,2737.6,High Activity,1.81,14.0,0.0,True,Maintenance,9,8,real,train
61,Male,154.9,99.8,41.57,Obese,1822.5,3298.7,High Activity,1.81,20.0,0.0,True,Fat Loss,3,3,real,train
40,Male,188.0,97.5,27.6,Overweight,2069.8,3746.4,High Activity,1.81,5.0,1.0,True,Fat Loss,3,2,real,train
43,Male,182.9,106.6,31.87,Obese,2149.9,3891.4,High Activity,1.81,40.0,5.0,True,Fat Loss,3,3,real,train
52,Female,162.6,65.8,24.89,Normal,1334.2,2415.0,High Activity,1.81,10.0,3.0,True,Maintenance,9,7,real,train
41,Male,185.4,79.4,23.09,Normal,1808.9,3274.1,High Activity,1.81,3.0,3.0,True,Maintenance,9,7,real,train
49,Male,172.7,86.2,28.89,Overweight,1793.7,3246.5,High Activity,1.81,60.0,20.0,True,Maintenance,9,8,real,train
51,Female,167.6,61.2,21.79,Normal,1312.4,2375.4,High Activity,1.81,10.0,0.0,True,Maintenance,9,7,real,train
48,Male,175.3,90.7,29.53,Overweight,1872.3,3388.9,High Activity,1.81,10.0,5.0,True,Maintenance,9,8,real,train
63,Male,182.9,113.4,33.91,Obese,2127.5,3850.9,High Activity,1.81,10.0,5.0,True,Fat Loss,3,3,real,train
44,Male,175.3,86.2,28.06,Overweight,1834.2,2843.1,Moderate Activity,1.55,4.0,1.0,True,Maintenance,8,8,real,train
